SkodaRang,Leto,PKID,Textbox6
Požari v objektih,2010,9.690.350,Objekti transportne infrastrukture,0,14.420.644
Požari v objektih,2011,1.480.245,Objekti transportne infrastrukture,2,2.900.975
Požari v objektih,2012,6.720.347,Objekti transportne infrastrukture,0,7.120.762
Požari v objektih,2013,4.830.452,Objekti transportne infrastrukture,3,5.600.911
Požari v objektih,2014,4.420.275,Objekti transportne infrastrukture,0,7.770.499
Požari v objektih,2015,5.920.548,Objekti transportne infrastrukture,3,6.821.142
Požari v objektih,2016,3.630.640,Objekti transportne infrastrukture,1.000.001,4.231.368
Požari v objektih,2017,4.940.585,Objekti transportne infrastrukture,2,5.331.251
Požari v objektih,2005,3.880.250,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",20.009,4.280.514
Požari v objektih,2006,6.020.254,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",6,6.700.467
Požari v objektih,2007,9.710.225,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",20.007,11.630.511
Požari v objektih,2008,6.070.171,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",10.000,6.880.270
Požari v objektih,2009,6.170.186,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",50.003,6.650.278
Požari v objektih,2010,9.690.350,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",1.010.003,14.420.644
Požari v objektih,2011,1.480.245,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",23,2.900.975
Požari v objektih,2012,6.720.347,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",7,7.120.762
Požari v objektih,2013,4.830.452,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",17,5.600.911
Požari v objektih,2014,4.420.275,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",15,7.770.499
Požari v objektih,2015,5.920.548,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",20.024,6.821.142
Požari v objektih,2016,3.630.640,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",21,4.231.368
Požari v objektih,2017,4.940.585,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",30,5.331.251
Požari v objektih,2005,3.880.250,Kompleksni industrijski objekti,10.000,4.280.514
Požari v objektih,2006,6.020.254,Kompleksni industrijski objekti,0,6.700.467
Požari v objektih,2007,9.710.225,Kompleksni industrijski objekti,0,11.630.511
Požari v objektih,2008,6.070.171,Kompleksni industrijski objekti,0,6.880.270
Požari v objektih,2009,6.170.186,Kompleksni industrijski objekti,1,6.650.278
Požari v objektih,2010,9.690.350,Kompleksni industrijski objekti,120.010,14.420.644
Požari v objektih,2011,1.480.245,Kompleksni industrijski objekti,100.009,2.900.975
Požari v objektih,2012,6.720.347,Kompleksni industrijski objekti,410.018,7.120.762
Požari v objektih,2013,4.830.452,Kompleksni industrijski objekti,1.430.026,5.600.911
Požari v objektih,2014,4.420.275,Kompleksni industrijski objekti,1.280.015,7.770.499
Požari v objektih,2015,5.920.548,Kompleksni industrijski objekti,290.041,6.821.142
Požari v objektih,2016,3.630.640,Kompleksni industrijski objekti,630.049,4.231.368
Požari v objektih,2017,4.940.585,Kompleksni industrijski objekti,310.036,5.331.251
Požari v objektih,2005,3.880.250,Drugi gradbeni inženirski objekti,60.010,4.280.514
Požari v objektih,2006,6.020.254,Drugi gradbeni inženirski objekti,30.009,6.700.467
Požari v objektih,2007,9.710.225,Drugi gradbeni inženirski objekti,240.007,11.630.511
Požari v objektih,2008,6.070.171,Drugi gradbeni inženirski objekti,3,6.880.270
Požari v objektih,2009,6.170.186,Drugi gradbeni inženirski objekti,2,6.650.278
Požari v objektih,2010,9.690.350,Drugi gradbeni inženirski objekti,110.004,14.420.644
Požari v objektih,2011,1.480.245,Drugi gradbeni inženirski objekti,10.010,2.900.975
Požari v objektih,2012,6.720.347,Drugi gradbeni inženirski objekti,10.010,7.120.762
Požari v objektih,2013,4.830.452,Drugi gradbeni inženirski objekti,11,5.600.911
Požari v objektih,2014,4.420.275,Drugi gradbeni inženirski objekti,20.003,7.770.499
Požari v objektih,2015,5.920.548,Drugi gradbeni inženirski objekti,60.013,6.821.142
Požari v objektih,2016,3.630.640,Drugi gradbeni inženirski objekti,60.012,4.231.368
Požari v objektih,2017,4.940.585,Drugi gradbeni inženirski objekti,1.070.006,5.331.251
Požari na prometnih sredstvih,2005,380.088,požari na sredstvih cestnega prometa,380.084,4.280.514
