Textbox1
"Pregled števila dogodkov po letih za 
ReCO: vsi regijski centri
Občina: vse občine v okviru ReCO"

VrstaDogodka,Leto,Textbox63,SkupinaDogodka,Število,Textbox59
NARAVNE NESREČE,2016,1.193,Močan veter,193,15.841
NARAVNE NESREČE,2017,1.207,Močan veter,229,15.706
NARAVNE NESREČE,2005,670,Udari strel,21,11.042
NARAVNE NESREČE,2006,745,Udari strel,9,13.236
NARAVNE NESREČE,2007,781,Udari strel,14,13.283
NARAVNE NESREČE,2008,960,Udari strel,22,12.511
NARAVNE NESREČE,2009,1.075,Udari strel,14,13.742
NARAVNE NESREČE,2010,828,Udari strel,11,11.665
NARAVNE NESREČE,2011,584,Udari strel,22,13.589
NARAVNE NESREČE,2012,1.173,Udari strel,17,14.743
NARAVNE NESREČE,2013,1.202,Udari strel,9,14.093
NARAVNE NESREČE,2014,1.986,Udari strel,25,14.571
NARAVNE NESREČE,2015,841,Udari strel,18,14.664
NARAVNE NESREČE,2016,1.193,Udari strel,14,15.841
NARAVNE NESREČE,2017,1.207,Udari strel,41,15.706
NARAVNE NESREČE,2005,670,Žled,,11.042
NARAVNE NESREČE,2006,745,Žled,,13.236
NARAVNE NESREČE,2007,781,Žled,,13.283
NARAVNE NESREČE,2008,960,Žled,,12.511
NARAVNE NESREČE,2009,1.075,Žled,2,13.742
NARAVNE NESREČE,2010,828,Žled,7,11.665
NARAVNE NESREČE,2011,584,Žled,,13.589
NARAVNE NESREČE,2012,1.173,Žled,3,14.743
NARAVNE NESREČE,2013,1.202,Žled,,14.093
NARAVNE NESREČE,2014,1.986,Žled,258,14.571
NARAVNE NESREČE,2015,841,Žled,,14.664
NARAVNE NESREČE,2016,1.193,Žled,2,15.841
NARAVNE NESREČE,2017,1.207,Žled,3,15.706
NARAVNE NESREČE,2005,670,Pozeba,,11.042
NARAVNE NESREČE,2006,745,Pozeba,,13.236
NARAVNE NESREČE,2007,781,Pozeba,,13.283
NARAVNE NESREČE,2008,960,Pozeba,1,12.511
NARAVNE NESREČE,2009,1.075,Pozeba,,13.742
NARAVNE NESREČE,2010,828,Pozeba,,11.665
NARAVNE NESREČE,2011,584,Pozeba,,13.589
NARAVNE NESREČE,2012,1.173,Pozeba,,14.743
NARAVNE NESREČE,2013,1.202,Pozeba,,14.093
NARAVNE NESREČE,2014,1.986,Pozeba,,14.571
NARAVNE NESREČE,2015,841,Pozeba,,14.664
NARAVNE NESREČE,2016,1.193,Pozeba,,15.841
NARAVNE NESREČE,2017,1.207,Pozeba,1,15.706
NARAVNE NESREČE,2005,670,Suša,1,11.042
NARAVNE NESREČE,2006,745,Suša,142,13.236
