Textbox1
"Pregled števila dogodkov po letih za 
ReCO: vsi regijski centri
Občina: vse občine v okviru ReCO"

VrstaDogodka,Leto,Textbox63,SkupinaDogodka,Število,Textbox59
POŽARI IN EKSPLOZIJE,2009,5.071,Požari v objektih,2.179,13.742
POŽARI IN EKSPLOZIJE,2010,3.811,Požari v objektih,1.907,11.665
POŽARI IN EKSPLOZIJE,2011,5.259,Požari v objektih,2.249,13.589
POŽARI IN EKSPLOZIJE,2012,5.556,Požari v objektih,2.185,14.743
POŽARI IN EKSPLOZIJE,2013,4.159,Požari v objektih,2.063,14.093
POŽARI IN EKSPLOZIJE,2014,3.579,Požari v objektih,1.962,14.571
POŽARI IN EKSPLOZIJE,2015,4.244,Požari v objektih,2.102,14.664
POŽARI IN EKSPLOZIJE,2016,4.401,Požari v objektih,2.209,15.841
POŽARI IN EKSPLOZIJE,2017,4.831,Požari v objektih,1.973,15.706
POŽARI IN EKSPLOZIJE,2005,5.054,Požari na prometnih sredstvih,545,11.042
POŽARI IN EKSPLOZIJE,2006,5.384,Požari na prometnih sredstvih,621,13.236
POŽARI IN EKSPLOZIJE,2007,5.812,Požari na prometnih sredstvih,589,13.283
POŽARI IN EKSPLOZIJE,2008,4.872,Požari na prometnih sredstvih,593,12.511
POŽARI IN EKSPLOZIJE,2009,5.071,Požari na prometnih sredstvih,487,13.742
POŽARI IN EKSPLOZIJE,2010,3.811,Požari na prometnih sredstvih,437,11.665
POŽARI IN EKSPLOZIJE,2011,5.259,Požari na prometnih sredstvih,453,13.589
POŽARI IN EKSPLOZIJE,2012,5.556,Požari na prometnih sredstvih,403,14.743
POŽARI IN EKSPLOZIJE,2013,4.159,Požari na prometnih sredstvih,391,14.093
POŽARI IN EKSPLOZIJE,2014,3.579,Požari na prometnih sredstvih,394,14.571
POŽARI IN EKSPLOZIJE,2015,4.244,Požari na prometnih sredstvih,399,14.664
POŽARI IN EKSPLOZIJE,2016,4.401,Požari na prometnih sredstvih,397,15.841
POŽARI IN EKSPLOZIJE,2017,4.831,Požari na prometnih sredstvih,391,15.706
POŽARI IN EKSPLOZIJE,2005,5.054,Požari v naravi oziroma na prostem,1.756,11.042
POŽARI IN EKSPLOZIJE,2006,5.384,Požari v naravi oziroma na prostem,1.857,13.236
POŽARI IN EKSPLOZIJE,2007,5.812,Požari v naravi oziroma na prostem,2.243,13.283
POŽARI IN EKSPLOZIJE,2008,4.872,Požari v naravi oziroma na prostem,1.523,12.511
POŽARI IN EKSPLOZIJE,2009,5.071,Požari v naravi oziroma na prostem,1.840,13.742
POŽARI IN EKSPLOZIJE,2010,3.811,Požari v naravi oziroma na prostem,1.040,11.665
POŽARI IN EKSPLOZIJE,2011,5.259,Požari v naravi oziroma na prostem,1.940,13.589
POŽARI IN EKSPLOZIJE,2012,5.556,Požari v naravi oziroma na prostem,2.430,14.743
POŽARI IN EKSPLOZIJE,2013,4.159,Požari v naravi oziroma na prostem,1.314,14.093
POŽARI IN EKSPLOZIJE,2014,3.579,Požari v naravi oziroma na prostem,842,14.571
POŽARI IN EKSPLOZIJE,2015,4.244,Požari v naravi oziroma na prostem,1.348,14.664
POŽARI IN EKSPLOZIJE,2016,4.401,Požari v naravi oziroma na prostem,1.367,15.841
POŽARI IN EKSPLOZIJE,2017,4.831,Požari v naravi oziroma na prostem,2.116,15.706
POŽARI IN EKSPLOZIJE,2005,5.054,Požari v komunalnih in drugih zabojnikih,528,11.042
POŽARI IN EKSPLOZIJE,2006,5.384,Požari v komunalnih in drugih zabojnikih,604,13.236
POŽARI IN EKSPLOZIJE,2007,5.812,Požari v komunalnih in drugih zabojnikih,642,13.283
POŽARI IN EKSPLOZIJE,2008,4.872,Požari v komunalnih in drugih zabojnikih,559,12.511
POŽARI IN EKSPLOZIJE,2009,5.071,Požari v komunalnih in drugih zabojnikih,552,13.742
POŽARI IN EKSPLOZIJE,2010,3.811,Požari v komunalnih in drugih zabojnikih,400,11.665
POŽARI IN EKSPLOZIJE,2011,5.259,Požari v komunalnih in drugih zabojnikih,599,13.589
POŽARI IN EKSPLOZIJE,2012,5.556,Požari v komunalnih in drugih zabojnikih,523,14.743
POŽARI IN EKSPLOZIJE,2013,4.159,Požari v komunalnih in drugih zabojnikih,379,14.093
POŽARI IN EKSPLOZIJE,2014,3.579,Požari v komunalnih in drugih zabojnikih,362,14.571
POŽARI IN EKSPLOZIJE,2015,4.244,Požari v komunalnih in drugih zabojnikih,380,14.664
POŽARI IN EKSPLOZIJE,2016,4.401,Požari v komunalnih in drugih zabojnikih,412,15.841
POŽARI IN EKSPLOZIJE,2017,4.831,Požari v komunalnih in drugih zabojnikih,343,15.706
POŽARI IN EKSPLOZIJE,2005,5.054,Eksplozije,22,11.042
POŽARI IN EKSPLOZIJE,2006,5.384,Eksplozije,22,13.236
POŽARI IN EKSPLOZIJE,2007,5.812,Eksplozije,24,13.283
POŽARI IN EKSPLOZIJE,2008,4.872,Eksplozije,25,12.511
POŽARI IN EKSPLOZIJE,2009,5.071,Eksplozije,13,13.742
POŽARI IN EKSPLOZIJE,2010,3.811,Eksplozije,27,11.665
POŽARI IN EKSPLOZIJE,2011,5.259,Eksplozije,18,13.589
POŽARI IN EKSPLOZIJE,2012,5.556,Eksplozije,15,14.743
POŽARI IN EKSPLOZIJE,2013,4.159,Eksplozije,12,14.093
POŽARI IN EKSPLOZIJE,2014,3.579,Eksplozije,19,14.571
POŽARI IN EKSPLOZIJE,2015,4.244,Eksplozije,15,14.664
POŽARI IN EKSPLOZIJE,2016,4.401,Eksplozije,16,15.841
POŽARI IN EKSPLOZIJE,2017,4.831,Eksplozije,8,15.706
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2005,725,Sproščanja nevarnih plinov,149,11.042
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2006,670,Sproščanja nevarnih plinov,171,13.236
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2007,718,Sproščanja nevarnih plinov,204,13.283
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2008,630,Sproščanja nevarnih plinov,179,12.511
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2009,656,Sproščanja nevarnih plinov,153,13.742
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2010,579,Sproščanja nevarnih plinov,127,11.665
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2011,627,Sproščanja nevarnih plinov,184,13.589
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2012,543,Sproščanja nevarnih plinov,157,14.743
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2013,631,Sproščanja nevarnih plinov,206,14.093
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2014,657,Sproščanja nevarnih plinov,198,14.571
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2015,703,Sproščanja nevarnih plinov,241,14.664
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2016,641,Sproščanja nevarnih plinov,199,15.841
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2017,621,Sproščanja nevarnih plinov,202,15.706
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2005,725,Nesreče z nevarnimi snovmi,433,11.042
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2006,670,Nesreče z nevarnimi snovmi,445,13.236
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2007,718,Nesreče z nevarnimi snovmi,503,13.283
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2008,630,Nesreče z nevarnimi snovmi,442,12.511
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2009,656,Nesreče z nevarnimi snovmi,497,13.742
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2010,579,Nesreče z nevarnimi snovmi,441,11.665
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2011,627,Nesreče z nevarnimi snovmi,433,13.589
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2012,543,Nesreče z nevarnimi snovmi,375,14.743
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2013,631,Nesreče z nevarnimi snovmi,415,14.093
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2014,657,Nesreče z nevarnimi snovmi,448,14.571
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2015,703,Nesreče z nevarnimi snovmi,449,14.664
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2016,641,Nesreče z nevarnimi snovmi,435,15.841
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2017,621,Nesreče z nevarnimi snovmi,413,15.706
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2005,725,Onesnaženja zraka,143,11.042
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2006,670,Onesnaženja zraka,54,13.236
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2007,718,Onesnaženja zraka,11,13.283
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2008,630,Onesnaženja zraka,9,12.511
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2009,656,Onesnaženja zraka,6,13.742
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2010,579,Onesnaženja zraka,11,11.665
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2011,627,Onesnaženja zraka,10,13.589
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2012,543,Onesnaženja zraka,11,14.743
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2013,631,Onesnaženja zraka,10,14.093
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2014,657,Onesnaženja zraka,11,14.571
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2015,703,Onesnaženja zraka,13,14.664
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2016,641,Onesnaženja zraka,7,15.841
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2017,621,Onesnaženja zraka,6,15.706
JEDRSKI IN DRUGI DOGODKI,2005,,Jedrska ali radiološka nevarnost,,11.042
JEDRSKI IN DRUGI DOGODKI,2006,1,Jedrska ali radiološka nevarnost,1,13.236
JEDRSKI IN DRUGI DOGODKI,2007,1,Jedrska ali radiološka nevarnost,1,13.283
JEDRSKI IN DRUGI DOGODKI,2008,1,Jedrska ali radiološka nevarnost,1,12.511
JEDRSKI IN DRUGI DOGODKI,2009,,Jedrska ali radiološka nevarnost,,13.742
JEDRSKI IN DRUGI DOGODKI,2010,,Jedrska ali radiološka nevarnost,,11.665
JEDRSKI IN DRUGI DOGODKI,2011,1,Jedrska ali radiološka nevarnost,1,13.589
JEDRSKI IN DRUGI DOGODKI,2012,2,Jedrska ali radiološka nevarnost,2,14.743
JEDRSKI IN DRUGI DOGODKI,2013,7,Jedrska ali radiološka nevarnost,,14.093
JEDRSKI IN DRUGI DOGODKI,2014,5,Jedrska ali radiološka nevarnost,,14.571
JEDRSKI IN DRUGI DOGODKI,2015,65,Jedrska ali radiološka nevarnost,,14.664
JEDRSKI IN DRUGI DOGODKI,2016,17,Jedrska ali radiološka nevarnost,,15.841
JEDRSKI IN DRUGI DOGODKI,2017,14,Jedrska ali radiološka nevarnost,1,15.706
JEDRSKI IN DRUGI DOGODKI,2005,,"Teroristični napadi, demonstracije, množične migracije, vojne",,11.042
JEDRSKI IN DRUGI DOGODKI,2006,1,"Teroristični napadi, demonstracije, množične migracije, vojne",,13.236
JEDRSKI IN DRUGI DOGODKI,2007,1,"Teroristični napadi, demonstracije, množične migracije, vojne",,13.283
JEDRSKI IN DRUGI DOGODKI,2008,1,"Teroristični napadi, demonstracije, množične migracije, vojne",,12.511
JEDRSKI IN DRUGI DOGODKI,2009,,"Teroristični napadi, demonstracije, množične migracije, vojne",,13.742
JEDRSKI IN DRUGI DOGODKI,2010,,"Teroristični napadi, demonstracije, množične migracije, vojne",,11.665
JEDRSKI IN DRUGI DOGODKI,2011,1,"Teroristični napadi, demonstracije, množične migracije, vojne",,13.589
JEDRSKI IN DRUGI DOGODKI,2012,2,"Teroristični napadi, demonstracije, množične migracije, vojne",,14.743
JEDRSKI IN DRUGI DOGODKI,2013,7,"Teroristični napadi, demonstracije, množične migracije, vojne",7,14.093
JEDRSKI IN DRUGI DOGODKI,2014,5,"Teroristični napadi, demonstracije, množične migracije, vojne",5,14.571
JEDRSKI IN DRUGI DOGODKI,2015,65,"Teroristični napadi, demonstracije, množične migracije, vojne",65,14.664
JEDRSKI IN DRUGI DOGODKI,2016,17,"Teroristični napadi, demonstracije, množične migracije, vojne",17,15.841
JEDRSKI IN DRUGI DOGODKI,2017,14,"Teroristični napadi, demonstracije, množične migracije, vojne",13,15.706
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2005,566,Najdbe neeksplodiranih ubojnih sredstev,389,11.042
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2006,614,Najdbe neeksplodiranih ubojnih sredstev,329,13.236
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2007,623,Najdbe neeksplodiranih ubojnih sredstev,371,13.283
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2008,524,Najdbe neeksplodiranih ubojnih sredstev,361,12.511
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2009,616,Najdbe neeksplodiranih ubojnih sredstev,343,13.742
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2010,624,Najdbe neeksplodiranih ubojnih sredstev,414,11.665
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2011,621,Najdbe neeksplodiranih ubojnih sredstev,379,13.589
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2012,813,Najdbe neeksplodiranih ubojnih sredstev,412,14.743
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2013,780,Najdbe neeksplodiranih ubojnih sredstev,428,14.093
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2014,851,Najdbe neeksplodiranih ubojnih sredstev,417,14.571
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2015,804,Najdbe neeksplodiranih ubojnih sredstev,424,14.664
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2016,826,Najdbe neeksplodiranih ubojnih sredstev,410,15.841
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2017,807,Najdbe neeksplodiranih ubojnih sredstev,419,15.706
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2005,566,"Nenačrtne motnje, omejitve, prekinitve, oskrbe",156,11.042
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2006,614,"Nenačrtne motnje, omejitve, prekinitve, oskrbe",270,13.236
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2007,623,"Nenačrtne motnje, omejitve, prekinitve, oskrbe",242,13.283
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2008,524,"Nenačrtne motnje, omejitve, prekinitve, oskrbe",153,12.511
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2009,616,"Nenačrtne motnje, omejitve, prekinitve, oskrbe",267,13.742
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2010,624,"Nenačrtne motnje, omejitve, prekinitve, oskrbe",202,11.665
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2011,621,"Nenačrtne motnje, omejitve, prekinitve, oskrbe",240,13.589
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2012,813,"Nenačrtne motnje, omejitve, prekinitve, oskrbe",397,14.743
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2013,780,"Nenačrtne motnje, omejitve, prekinitve, oskrbe",348,14.093
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2014,851,"Nenačrtne motnje, omejitve, prekinitve, oskrbe",430,14.571
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2015,804,"Nenačrtne motnje, omejitve, prekinitve, oskrbe",377,14.664
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2016,826,"Nenačrtne motnje, omejitve, prekinitve, oskrbe",410,15.841
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2017,807,"Nenačrtne motnje, omejitve, prekinitve, oskrbe",387,15.706
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2005,566,"Poškodbe, porušitve oziroma samoporušitve objektov",21,11.042
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2006,614,"Poškodbe, porušitve oziroma samoporušitve objektov",15,13.236
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2007,623,"Poškodbe, porušitve oziroma samoporušitve objektov",10,13.283
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2008,524,"Poškodbe, porušitve oziroma samoporušitve objektov",10,12.511
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2009,616,"Poškodbe, porušitve oziroma samoporušitve objektov",6,13.742
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2010,624,"Poškodbe, porušitve oziroma samoporušitve objektov",8,11.665
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2011,621,"Poškodbe, porušitve oziroma samoporušitve objektov",2,13.589
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2012,813,"Poškodbe, porušitve oziroma samoporušitve objektov",4,14.743
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2013,780,"Poškodbe, porušitve oziroma samoporušitve objektov",4,14.093
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2014,851,"Poškodbe, porušitve oziroma samoporušitve objektov",4,14.571
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2015,804,"Poškodbe, porušitve oziroma samoporušitve objektov",3,14.664
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2016,826,"Poškodbe, porušitve oziroma samoporušitve objektov",6,15.841
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2017,807,"Poškodbe, porušitve oziroma samoporušitve objektov",1,15.706
TEHNIČNA IN DRUGA POMOČ,2005,1.945,Tehnična in druga pomoč,1.945,11.042
TEHNIČNA IN DRUGA POMOČ,2006,2.683,Tehnična in druga pomoč,2.683,13.236
TEHNIČNA IN DRUGA POMOČ,2007,2.213,Tehnična in druga pomoč,2.213,13.283
TEHNIČNA IN DRUGA POMOČ,2008,2.527,Tehnična in druga pomoč,2.527,12.511
TEHNIČNA IN DRUGA POMOČ,2009,3.134,Tehnična in druga pomoč,3.134,13.742
TEHNIČNA IN DRUGA POMOČ,2010,3.002,Tehnična in druga pomoč,3.002,11.665
TEHNIČNA IN DRUGA POMOČ,2011,3.223,Tehnična in druga pomoč,3.223,13.589
TEHNIČNA IN DRUGA POMOČ,2012,3.314,Tehnična in druga pomoč,3.314,14.743
TEHNIČNA IN DRUGA POMOČ,2013,3.772,Tehnična in druga pomoč,3.772,14.093
TEHNIČNA IN DRUGA POMOČ,2014,4.017,Tehnična in druga pomoč,4.017,14.571
TEHNIČNA IN DRUGA POMOČ,2015,4.134,Tehnična in druga pomoč,4.134,14.664
TEHNIČNA IN DRUGA POMOČ,2016,4.387,Tehnična in druga pomoč,4.387,15.841
TEHNIČNA IN DRUGA POMOČ,2017,4.253,Tehnična in druga pomoč,4.253,15.706

Chart4_SeriesGroup_label,Chart4_SeriesGroup_Chart4_CategoryGroup_label,Chart4_SeriesGroup_Chart4_CategoryGroup_Value_Y
DRUGE NESREČE,2005,549
DRUGE NESREČE,2006,982
DRUGE NESREČE,2007,992
DRUGE NESREČE,2008,1045
DRUGE NESREČE,2009,1130
DRUGE NESREČE,2010,1017
DRUGE NESREČE,2011,1169
DRUGE NESREČE,2012,1268
DRUGE NESREČE,2013,1178
DRUGE NESREČE,2014,1203
DRUGE NESREČE,2015,1505
DRUGE NESREČE,2016,1688
DRUGE NESREČE,2017,1844
JEDRSKI IN DRUGI DOGODKI,2005,
JEDRSKI IN DRUGI DOGODKI,2006,1
JEDRSKI IN DRUGI DOGODKI,2007,1
JEDRSKI IN DRUGI DOGODKI,2008,1
JEDRSKI IN DRUGI DOGODKI,2009,
JEDRSKI IN DRUGI DOGODKI,2010,
JEDRSKI IN DRUGI DOGODKI,2011,1
JEDRSKI IN DRUGI DOGODKI,2012,2
JEDRSKI IN DRUGI DOGODKI,2013,7
JEDRSKI IN DRUGI DOGODKI,2014,5
JEDRSKI IN DRUGI DOGODKI,2015,65
JEDRSKI IN DRUGI DOGODKI,2016,17
JEDRSKI IN DRUGI DOGODKI,2017,14
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2005,566
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2006,614
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2007,623
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2008,524
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2009,616
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2010,624
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2011,621
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2012,813
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2013,780
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2014,851
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2015,804
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2016,826
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",2017,807
NARAVNE NESREČE,2005,670
NARAVNE NESREČE,2006,745
NARAVNE NESREČE,2007,781
NARAVNE NESREČE,2008,960
NARAVNE NESREČE,2009,1075
NARAVNE NESREČE,2010,828
NARAVNE NESREČE,2011,584
NARAVNE NESREČE,2012,1173
NARAVNE NESREČE,2013,1202
NARAVNE NESREČE,2014,1986
NARAVNE NESREČE,2015,841
NARAVNE NESREČE,2016,1193
NARAVNE NESREČE,2017,1207
NESREČE V PROMETU,2005,1533
NESREČE V PROMETU,2006,2157
NESREČE V PROMETU,2007,2143
NESREČE V PROMETU,2008,1952
NESREČE V PROMETU,2009,2060
NESREČE V PROMETU,2010,1804
NESREČE V PROMETU,2011,2105
NESREČE V PROMETU,2012,2074
NESREČE V PROMETU,2013,2364
NESREČE V PROMETU,2014,2273
NESREČE V PROMETU,2015,2368
NESREČE V PROMETU,2016,2688
NESREČE V PROMETU,2017,2129
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2005,725
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2006,670
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2007,718
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2008,630
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2009,656
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2010,579
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2011,627
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2012,543
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2013,631
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2014,657
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2015,703
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2016,641
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2017,621
POŽARI IN EKSPLOZIJE,2005,5054
POŽARI IN EKSPLOZIJE,2006,5384
POŽARI IN EKSPLOZIJE,2007,5812
POŽARI IN EKSPLOZIJE,2008,4872
POŽARI IN EKSPLOZIJE,2009,5071
POŽARI IN EKSPLOZIJE,2010,3811
POŽARI IN EKSPLOZIJE,2011,5259
POŽARI IN EKSPLOZIJE,2012,5556
POŽARI IN EKSPLOZIJE,2013,4159
POŽARI IN EKSPLOZIJE,2014,3579
POŽARI IN EKSPLOZIJE,2015,4244
POŽARI IN EKSPLOZIJE,2016,4401
POŽARI IN EKSPLOZIJE,2017,4831
TEHNIČNA IN DRUGA POMOČ,2005,1945
TEHNIČNA IN DRUGA POMOČ,2006,2683
TEHNIČNA IN DRUGA POMOČ,2007,2213
TEHNIČNA IN DRUGA POMOČ,2008,2527
TEHNIČNA IN DRUGA POMOČ,2009,3134
TEHNIČNA IN DRUGA POMOČ,2010,3002
TEHNIČNA IN DRUGA POMOČ,2011,3223
TEHNIČNA IN DRUGA POMOČ,2012,3314
TEHNIČNA IN DRUGA POMOČ,2013,3772
TEHNIČNA IN DRUGA POMOČ,2014,4017
TEHNIČNA IN DRUGA POMOČ,2015,4134
TEHNIČNA IN DRUGA POMOČ,2016,4387
TEHNIČNA IN DRUGA POMOČ,2017,4253

