Textbox1
"Omejitve izpisa:
Leto: 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017
ReCO: vse
Občina: vse
Vrsta enote: Prostovoljna teritorialna gasilska društva, Poklicne gasilske enote, Industrijska gasilska društva"

VrstaDogodka1,Leto1,Textbox40,Dogodek,PKID2,Textbox29
Požari na prometnih sredstvih,2005,656,požari na sredstvih cestnega prometa,609,6.831
Požari na prometnih sredstvih,2006,777,požari na sredstvih cestnega prometa,693,8.550
Požari na prometnih sredstvih,2007,782,požari na sredstvih cestnega prometa,728,8.449
Požari na prometnih sredstvih,2008,846,požari na sredstvih cestnega prometa,793,7.177
Požari na prometnih sredstvih,2009,726,požari na sredstvih cestnega prometa,674,7.910
Požari na prometnih sredstvih,2010,670,požari na sredstvih cestnega prometa,601,5.725
Požari na prometnih sredstvih,2011,686,požari na sredstvih cestnega prometa,624,8.223
Požari na prometnih sredstvih,2012,638,požari na sredstvih cestnega prometa,587,9.137
Požari na prometnih sredstvih,2013,645,požari na sredstvih cestnega prometa,588,7.130
Požari na prometnih sredstvih,2014,660,požari na sredstvih cestnega prometa,620,5.917
Požari na prometnih sredstvih,2015,718,požari na sredstvih cestnega prometa,666,6.955
Požari na prometnih sredstvih,2016,649,požari na sredstvih cestnega prometa,604,7.496
Požari na prometnih sredstvih,2017,658,požari na sredstvih cestnega prometa,613,8.595
Požari na prometnih sredstvih,2005,656,"požari na delovnih, kmetijskih in gradbenih strojih",25,6.831
Požari na prometnih sredstvih,2006,777,"požari na delovnih, kmetijskih in gradbenih strojih",50,8.550
Požari na prometnih sredstvih,2007,782,"požari na delovnih, kmetijskih in gradbenih strojih",31,8.449
Požari na prometnih sredstvih,2008,846,"požari na delovnih, kmetijskih in gradbenih strojih",33,7.177
Požari na prometnih sredstvih,2009,726,"požari na delovnih, kmetijskih in gradbenih strojih",32,7.910
Požari na prometnih sredstvih,2010,670,"požari na delovnih, kmetijskih in gradbenih strojih",49,5.725
Požari na prometnih sredstvih,2011,686,"požari na delovnih, kmetijskih in gradbenih strojih",35,8.223
Požari na prometnih sredstvih,2012,638,"požari na delovnih, kmetijskih in gradbenih strojih",35,9.137
Požari na prometnih sredstvih,2013,645,"požari na delovnih, kmetijskih in gradbenih strojih",33,7.130
Požari na prometnih sredstvih,2014,660,"požari na delovnih, kmetijskih in gradbenih strojih",19,5.917
Požari na prometnih sredstvih,2015,718,"požari na delovnih, kmetijskih in gradbenih strojih",38,6.955
Požari na prometnih sredstvih,2016,649,"požari na delovnih, kmetijskih in gradbenih strojih",35,7.496
Požari na prometnih sredstvih,2017,658,"požari na delovnih, kmetijskih in gradbenih strojih",36,8.595
Požari na prometnih sredstvih,2005,656,požari na sredstvih železniškega prometa,17,6.831
Požari na prometnih sredstvih,2006,777,požari na sredstvih železniškega prometa,25,8.550
Požari na prometnih sredstvih,2007,782,požari na sredstvih železniškega prometa,14,8.449
Požari na prometnih sredstvih,2008,846,požari na sredstvih železniškega prometa,16,7.177
Požari na prometnih sredstvih,2009,726,požari na sredstvih železniškega prometa,14,7.910
Požari na prometnih sredstvih,2010,670,požari na sredstvih železniškega prometa,15,5.725
Požari na prometnih sredstvih,2011,686,požari na sredstvih železniškega prometa,26,8.223
Požari na prometnih sredstvih,2012,638,požari na sredstvih železniškega prometa,10,9.137
