Textbox1
"Omejitve izpisa:
Leto: 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017
ReCO: vse
Občina: vse
Vrsta enote: Prostovoljna teritorialna gasilska društva, Poklicne gasilske enote, Industrijska gasilska društva"

VrstaDogodka1,Leto1,Textbox40,Dogodek,PKID2,Textbox29
2009,7.910,54.474,0,34,857.664,,Požari v objektih,3.674,29.096,0,30,516.269,,Drugi gradbeni inženirski objekti,98,832,0,0,12.744,,Prostovoljna teritorialna gasilska društva,63,598,0,0,6.564,
2009,7.910,54.474,0,34,857.664,,Požari na prometnih sredstvih,726,4.539,0,0,62.098,,požari na sredstvih cestnega prometa,674,4.201,0,0,61.039,,Industrijska gasilska društva,3,11,,,,
2009,7.910,54.474,0,34,857.664,,Požari na prometnih sredstvih,726,4.539,0,0,62.098,,požari na sredstvih cestnega prometa,674,4.201,0,0,61.039,,Poklicne gasilske enote,300,1.502,0,0,40.760,
2009,7.910,54.474,0,34,857.664,,Požari na prometnih sredstvih,726,4.539,0,0,62.098,,požari na sredstvih cestnega prometa,674,4.201,0,0,61.039,,Prostovoljna teritorialna gasilska društva,371,2.688,0,0,20.279,
2009,7.910,54.474,0,34,857.664,,Požari na prometnih sredstvih,726,4.539,0,0,62.098,,"požari na delovnih, kmetijskih in gradbenih strojih",32,203,0,0,,,Poklicne gasilske enote,5,30,,,,
2009,7.910,54.474,0,34,857.664,,Požari na prometnih sredstvih,726,4.539,0,0,62.098,,"požari na delovnih, kmetijskih in gradbenih strojih",32,203,0,0,,,Prostovoljna teritorialna gasilska društva,27,173,0,0,,
2009,7.910,54.474,0,34,857.664,,Požari na prometnih sredstvih,726,4.539,0,0,62.098,,požari na sredstvih železniškega prometa,14,84,,,1.059,,Poklicne gasilske enote,8,55,,,867,
2009,7.910,54.474,0,34,857.664,,Požari na prometnih sredstvih,726,4.539,0,0,62.098,,požari na sredstvih železniškega prometa,14,84,,,1.059,,Prostovoljna teritorialna gasilska društva,6,29,,,192,
2009,7.910,54.474,0,34,857.664,,Požari na prometnih sredstvih,726,4.539,0,0,62.098,,požari na sredstvih zračnega prometa,2,19,,,,,Industrijska gasilska društva,2,19,,,,
2009,7.910,54.474,0,34,857.664,,Požari na prometnih sredstvih,726,4.539,0,0,62.098,,požari na sredstvih vodnega prometa,4,32,,,,,Poklicne gasilske enote,2,19,,,,
2009,7.910,54.474,0,34,857.664,,Požari na prometnih sredstvih,726,4.539,0,0,62.098,,požari na sredstvih vodnega prometa,4,32,,,,,Prostovoljna teritorialna gasilska društva,2,13,,,,
2009,7.910,54.474,0,34,857.664,,Požari v naravi oziroma na prostem,2.878,18.216,0,4,230.137,,požari na gozdnih in grmovnih površinah,609,4.408,0,1,58.895,,Poklicne gasilske enote,156,745,,,18.597,
2009,7.910,54.474,0,34,857.664,,Požari v naravi oziroma na prostem,2.878,18.216,0,4,230.137,,požari na gozdnih in grmovnih površinah,609,4.408,0,1,58.895,,Prostovoljna teritorialna gasilska društva,453,3.663,0,1,40.298,
2009,7.910,54.474,0,34,857.664,,Požari v naravi oziroma na prostem,2.878,18.216,0,4,230.137,,požari na obdelanih površinah,81,399,0,0,1.211,,Poklicne gasilske enote,33,123,,,1.049,
2009,7.910,54.474,0,34,857.664,,Požari v naravi oziroma na prostem,2.878,18.216,0,4,230.137,,požari na obdelanih površinah,81,399,0,0,1.211,,Prostovoljna teritorialna gasilska društva,48,276,0,0,162,
2009,7.910,54.474,0,34,857.664,,Požari v naravi oziroma na prostem,2.878,18.216,0,4,230.137,,požari na travniških površinah,1.383,8.927,0,3,70.729,,Industrijska gasilska društva,2,19,,,1.100,
2009,7.910,54.474,0,34,857.664,,Požari v naravi oziroma na prostem,2.878,18.216,0,4,230.137,,požari na travniških površinah,1.383,8.927,0,3,70.729,,Poklicne gasilske enote,379,1.490,0,0,24.550,
2009,7.910,54.474,0,34,857.664,,Požari v naravi oziroma na prostem,2.878,18.216,0,4,230.137,,požari na travniških površinah,1.383,8.927,0,3,70.729,,Prostovoljna teritorialna gasilska društva,1.002,7.418,0,3,45.079,
2009,7.910,54.474,0,34,857.664,,Požari v naravi oziroma na prostem,2.878,18.216,0,4,230.137,,"požari na smetiščih, odlagališčih",303,1.730,0,0,14.496,,Industrijska gasilska društva,2,5,,,80,
2009,7.910,54.474,0,34,857.664,,Požari v naravi oziroma na prostem,2.878,18.216,0,4,230.137,,"požari na smetiščih, odlagališčih",303,1.730,0,0,14.496,,Poklicne gasilske enote,111,445,,,6.953,
2009,7.910,54.474,0,34,857.664,,Požari v naravi oziroma na prostem,2.878,18.216,0,4,230.137,,"požari na smetiščih, odlagališčih",303,1.730,0,0,14.496,,Prostovoljna teritorialna gasilska društva,190,1.280,0,0,7.463,
2009,7.910,54.474,0,34,857.664,,Požari v naravi oziroma na prostem,2.878,18.216,0,4,230.137,,drugi požari v naravi oziroma na prostem,502,2.752,0,0,84.806,,Poklicne gasilske enote,236,879,0,0,11.504,
2009,7.910,54.474,0,34,857.664,,Požari v naravi oziroma na prostem,2.878,18.216,0,4,230.137,,drugi požari v naravi oziroma na prostem,502,2.752,0,0,84.806,,Prostovoljna teritorialna gasilska društva,266,1.873,0,0,73.302,
2009,7.910,54.474,0,34,857.664,,Požari v komunalnih in drugih zabojnikih,632,2.623,0,0,49.160,,požari v komunalnih in drugih zabojnikih,632,2.623,0,0,49.160,,Poklicne gasilske enote,396,1.349,0,0,30.205,
2009,7.910,54.474,0,34,857.664,,Požari v komunalnih in drugih zabojnikih,632,2.623,0,0,49.160,,požari v komunalnih in drugih zabojnikih,632,2.623,0,0,49.160,,Prostovoljna teritorialna gasilska društva,236,1.274,0,0,18.955,
2008,7.177,46.672,0,27,847.146,,Požari v objektih,3.471,25.917,0,14,368.107,,Stanovanjske stavbe,1.848,13.429,0,6,215.391,,Industrijska gasilska društva,1,2,0,0,,
2008,7.177,46.672,0,27,847.146,,Požari v objektih,3.471,25.917,0,14,368.107,,Stanovanjske stavbe,1.848,13.429,0,6,215.391,,Poklicne gasilske enote,494,2.918,0,0,130.714,
2008,7.177,46.672,0,27,847.146,,Požari v objektih,3.471,25.917,0,14,368.107,,Stanovanjske stavbe,1.848,13.429,0,6,215.391,,Prostovoljna teritorialna gasilska društva,1.353,10.509,0,6,84.677,
2008,7.177,46.672,0,27,847.146,,Požari v objektih,3.471,25.917,0,14,368.107,,Nestanovanjske stavbe,1.431,11.192,0,5,125.652,,Industrijska gasilska društva,3,8,,,,
2008,7.177,46.672,0,27,847.146,,Požari v objektih,3.471,25.917,0,14,368.107,,Nestanovanjske stavbe,1.431,11.192,0,5,125.652,,Poklicne gasilske enote,542,2.871,,1,44.376,
2008,7.177,46.672,0,27,847.146,,Požari v objektih,3.471,25.917,0,14,368.107,,Nestanovanjske stavbe,1.431,11.192,0,5,125.652,,Prostovoljna teritorialna gasilska društva,886,8.313,0,4,81.276,
2008,7.177,46.672,0,27,847.146,,Požari v objektih,3.471,25.917,0,14,368.107,,Objekti transportne infrastrukture,10,37,,,289,,Poklicne gasilske enote,8,31,,,289,
2008,7.177,46.672,0,27,847.146,,Požari v objektih,3.471,25.917,0,14,368.107,,Objekti transportne infrastrukture,10,37,,,289,,Prostovoljna teritorialna gasilska društva,2,6,,,,
2008,7.177,46.672,0,27,847.146,,Požari v objektih,3.471,25.917,0,14,368.107,,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",61,337,0,0,3.381,,Poklicne gasilske enote,19,76,,,1.535,
2008,7.177,46.672,0,27,847.146,,Požari v objektih,3.471,25.917,0,14,368.107,,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",61,337,0,0,3.381,,Prostovoljna teritorialna gasilska društva,42,261,0,0,1.846,
2008,7.177,46.672,0,27,847.146,,Požari v objektih,3.471,25.917,0,14,368.107,,Kompleksni industrijski objekti,9,40,,,,,Industrijska gasilska društva,1,2,,,,
2008,7.177,46.672,0,27,847.146,,Požari v objektih,3.471,25.917,0,14,368.107,,Kompleksni industrijski objekti,9,40,,,,,Poklicne gasilske enote,7,28,,,,
2008,7.177,46.672,0,27,847.146,,Požari v objektih,3.471,25.917,0,14,368.107,,Kompleksni industrijski objekti,9,40,,,,,Prostovoljna teritorialna gasilska društva,1,10,,,,
2008,7.177,46.672,0,27,847.146,,Požari v objektih,3.471,25.917,0,14,368.107,,Drugi gradbeni inženirski objekti,112,882,0,3,23.394,,Poklicne gasilske enote,39,293,,,5.501,
2008,7.177,46.672,0,27,847.146,,Požari v objektih,3.471,25.917,0,14,368.107,,Drugi gradbeni inženirski objekti,112,882,0,3,23.394,,Prostovoljna teritorialna gasilska društva,73,589,0,3,17.893,
2008,7.177,46.672,0,27,847.146,,Požari na prometnih sredstvih,846,4.904,0,2,169.590,,požari na sredstvih cestnega prometa,793,4.625,0,2,168.329,,Poklicne gasilske enote,348,1.718,0,0,27.940,
2008,7.177,46.672,0,27,847.146,,Požari na prometnih sredstvih,846,4.904,0,2,169.590,,požari na sredstvih cestnega prometa,793,4.625,0,2,168.329,,Prostovoljna teritorialna gasilska društva,445,2.907,0,2,140.389,
2008,7.177,46.672,0,27,847.146,,Požari na prometnih sredstvih,846,4.904,0,2,169.590,,"požari na delovnih, kmetijskih in gradbenih strojih",33,175,0,0,914,,Industrijska gasilska društva,2,9,,,,
2008,7.177,46.672,0,27,847.146,,Požari na prometnih sredstvih,846,4.904,0,2,169.590,,"požari na delovnih, kmetijskih in gradbenih strojih",33,175,0,0,914,,Poklicne gasilske enote,10,51,,,358,
2008,7.177,46.672,0,27,847.146,,Požari na prometnih sredstvih,846,4.904,0,2,169.590,,"požari na delovnih, kmetijskih in gradbenih strojih",33,175,0,0,914,,Prostovoljna teritorialna gasilska društva,21,115,0,0,556,
2008,7.177,46.672,0,27,847.146,,Požari na prometnih sredstvih,846,4.904,0,2,169.590,,požari na sredstvih železniškega prometa,16,78,,,347,,Poklicne gasilske enote,5,20,,,347,
2008,7.177,46.672,0,27,847.146,,Požari na prometnih sredstvih,846,4.904,0,2,169.590,,požari na sredstvih železniškega prometa,16,78,,,347,,Prostovoljna teritorialna gasilska društva,11,58,,,,
2008,7.177,46.672,0,27,847.146,,Požari na prometnih sredstvih,846,4.904,0,2,169.590,,požari na sredstvih zračnega prometa,2,19,,,,,Industrijska gasilska društva,2,19,,,,
2008,7.177,46.672,0,27,847.146,,Požari na prometnih sredstvih,846,4.904,0,2,169.590,,požari na sredstvih vodnega prometa,2,7,,,,,Poklicne gasilske enote,1,6,,,,
2008,7.177,46.672,0,27,847.146,,Požari na prometnih sredstvih,846,4.904,0,2,169.590,,požari na sredstvih vodnega prometa,2,7,,,,,Prostovoljna teritorialna gasilska društva,1,1,,,,
2008,7.177,46.672,0,27,847.146,,Požari v naravi oziroma na prostem,2.245,13.276,0,11,289.389,,požari na gozdnih in grmovnih površinah,322,2.230,0,4,74.520,,Poklicne gasilske enote,82,359,,,25.920,
2008,7.177,46.672,0,27,847.146,,Požari v naravi oziroma na prostem,2.245,13.276,0,11,289.389,,požari na gozdnih in grmovnih površinah,322,2.230,0,4,74.520,,Prostovoljna teritorialna gasilska društva,240,1.871,0,4,48.600,
2008,7.177,46.672,0,27,847.146,,Požari v naravi oziroma na prostem,2.245,13.276,0,11,289.389,,požari na obdelanih površinah,83,420,0,1,2.629,,Poklicne gasilske enote,26,86,,,237,
2008,7.177,46.672,0,27,847.146,,Požari v naravi oziroma na prostem,2.245,13.276,0,11,289.389,,požari na obdelanih površinah,83,420,0,1,2.629,,Prostovoljna teritorialna gasilska društva,57,334,0,1,2.392,
2008,7.177,46.672,0,27,847.146,,Požari v naravi oziroma na prostem,2.245,13.276,0,11,289.389,,požari na travniških površinah,895,5.736,0,3,53.022,,Industrijska gasilska društva,1,6,,,163,
2008,7.177,46.672,0,27,847.146,,Požari v naravi oziroma na prostem,2.245,13.276,0,11,289.389,,požari na travniških površinah,895,5.736,0,3,53.022,,Poklicne gasilske enote,213,819,0,0,13.757,
2008,7.177,46.672,0,27,847.146,,Požari v naravi oziroma na prostem,2.245,13.276,0,11,289.389,,požari na travniških površinah,895,5.736,0,3,53.022,,Prostovoljna teritorialna gasilska društva,681,4.911,0,3,39.102,
2008,7.177,46.672,0,27,847.146,,Požari v naravi oziroma na prostem,2.245,13.276,0,11,289.389,,"požari na smetiščih, odlagališčih",337,1.781,0,3,135.440,,Industrijska gasilska društva,1,2,,,200,
2008,7.177,46.672,0,27,847.146,,Požari v naravi oziroma na prostem,2.245,13.276,0,11,289.389,,"požari na smetiščih, odlagališčih",337,1.781,0,3,135.440,,Poklicne gasilske enote,122,488,,,9.243,
2008,7.177,46.672,0,27,847.146,,Požari v naravi oziroma na prostem,2.245,13.276,0,11,289.389,,"požari na smetiščih, odlagališčih",337,1.781,0,3,135.440,,Prostovoljna teritorialna gasilska društva,214,1.291,0,3,125.997,
2008,7.177,46.672,0,27,847.146,,Požari v naravi oziroma na prostem,2.245,13.276,0,11,289.389,,drugi požari v naravi oziroma na prostem,608,3.109,0,0,23.778,,Poklicne gasilske enote,294,1.177,0,0,12.686,
2008,7.177,46.672,0,27,847.146,,Požari v naravi oziroma na prostem,2.245,13.276,0,11,289.389,,drugi požari v naravi oziroma na prostem,608,3.109,0,0,23.778,,Prostovoljna teritorialna gasilska društva,314,1.932,0,0,11.092,
2008,7.177,46.672,0,27,847.146,,Požari v komunalnih in drugih zabojnikih,615,2.575,0,0,20.060,,požari v komunalnih in drugih zabojnikih,615,2.575,0,0,20.060,,Industrijska gasilska društva,1,2,,,,
2008,7.177,46.672,0,27,847.146,,Požari v komunalnih in drugih zabojnikih,615,2.575,0,0,20.060,,požari v komunalnih in drugih zabojnikih,615,2.575,0,0,20.060,,Poklicne gasilske enote,378,1.262,0,0,11.194,
2008,7.177,46.672,0,27,847.146,,Požari v komunalnih in drugih zabojnikih,615,2.575,0,0,20.060,,požari v komunalnih in drugih zabojnikih,615,2.575,0,0,20.060,,Prostovoljna teritorialna gasilska društva,236,1.311,0,0,8.866,
2007,8.449,55.497,0,35,636.462,,Požari v objektih,3.714,28.478,0,25,347.010,,Stanovanjske stavbe,1.751,13.608,0,3,145.534,,Poklicne gasilske enote,468,2.853,0,1,62.945,
2007,8.449,55.497,0,35,636.462,,Požari v objektih,3.714,28.478,0,25,347.010,,Stanovanjske stavbe,1.751,13.608,0,3,145.534,,Prostovoljna teritorialna gasilska društva,1.283,10.755,0,2,82.589,
2007,8.449,55.497,0,35,636.462,,Požari v objektih,3.714,28.478,0,25,347.010,,Nestanovanjske stavbe,1.731,13.381,0,22,178.722,,Industrijska gasilska društva,10,32,,,127,
2007,8.449,55.497,0,35,636.462,,Požari v objektih,3.714,28.478,0,25,347.010,,Nestanovanjske stavbe,1.731,13.381,0,22,178.722,,Poklicne gasilske enote,623,3.372,0,0,59.974,
2007,8.449,55.497,0,35,636.462,,Požari v objektih,3.714,28.478,0,25,347.010,,Nestanovanjske stavbe,1.731,13.381,0,22,178.722,,Prostovoljna teritorialna gasilska društva,1.098,9.977,0,22,118.621,
2007,8.449,55.497,0,35,636.462,,Požari v objektih,3.714,28.478,0,25,347.010,,Objekti transportne infrastrukture,11,54,,,,,Poklicne gasilske enote,8,36,,,,
2007,8.449,55.497,0,35,636.462,,Požari v objektih,3.714,28.478,0,25,347.010,,Objekti transportne infrastrukture,11,54,,,,,Prostovoljna teritorialna gasilska društva,3,18,,,,
2007,8.449,55.497,0,35,636.462,,Požari v objektih,3.714,28.478,0,25,347.010,,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",107,596,0,0,5.912,,Industrijska gasilska društva,1,,,,,
2007,8.449,55.497,0,35,636.462,,Požari v objektih,3.714,28.478,0,25,347.010,,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",107,596,0,0,5.912,,Poklicne gasilske enote,36,159,0,0,2.743,
2007,8.449,55.497,0,35,636.462,,Požari v objektih,3.714,28.478,0,25,347.010,,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",107,596,0,0,5.912,,Prostovoljna teritorialna gasilska društva,70,437,0,0,3.169,
2007,8.449,55.497,0,35,636.462,,Požari v objektih,3.714,28.478,0,25,347.010,,Kompleksni industrijski objekti,9,28,,,65,,Industrijska gasilska društva,2,9,,,,
2007,8.449,55.497,0,35,636.462,,Požari v objektih,3.714,28.478,0,25,347.010,,Kompleksni industrijski objekti,9,28,,,65,,Poklicne gasilske enote,7,19,,,65,
2007,8.449,55.497,0,35,636.462,,Požari v objektih,3.714,28.478,0,25,347.010,,Drugi gradbeni inženirski objekti,105,811,0,0,16.777,,Poklicne gasilske enote,49,297,0,0,14.275,
2007,8.449,55.497,0,35,636.462,,Požari v objektih,3.714,28.478,0,25,347.010,,Drugi gradbeni inženirski objekti,105,811,0,0,16.777,,Prostovoljna teritorialna gasilska društva,56,514,0,0,2.502,
2007,8.449,55.497,0,35,636.462,,Požari na prometnih sredstvih,782,4.655,0,0,60.990,,požari na sredstvih cestnega prometa,728,4.308,0,0,53.576,,Industrijska gasilska društva,1,,,,,
2007,8.449,55.497,0,35,636.462,,Požari na prometnih sredstvih,782,4.655,0,0,60.990,,požari na sredstvih cestnega prometa,728,4.308,0,0,53.576,,Poklicne gasilske enote,353,1.814,0,0,32.015,
2007,8.449,55.497,0,35,636.462,,Požari na prometnih sredstvih,782,4.655,0,0,60.990,,požari na sredstvih cestnega prometa,728,4.308,0,0,53.576,,Prostovoljna teritorialna gasilska društva,374,2.494,0,0,21.561,
2007,8.449,55.497,0,35,636.462,,Požari na prometnih sredstvih,782,4.655,0,0,60.990,,"požari na delovnih, kmetijskih in gradbenih strojih",31,202,0,0,3.366,,Poklicne gasilske enote,10,50,,,447,
2007,8.449,55.497,0,35,636.462,,Požari na prometnih sredstvih,782,4.655,0,0,60.990,,"požari na delovnih, kmetijskih in gradbenih strojih",31,202,0,0,3.366,,Prostovoljna teritorialna gasilska društva,21,152,0,0,2.919,
2007,8.449,55.497,0,35,636.462,,Požari na prometnih sredstvih,782,4.655,0,0,60.990,,požari na sredstvih železniškega prometa,14,91,0,0,1.575,,Poklicne gasilske enote,6,35,,,1.575,
2007,8.449,55.497,0,35,636.462,,Požari na prometnih sredstvih,782,4.655,0,0,60.990,,požari na sredstvih železniškega prometa,14,91,0,0,1.575,,Prostovoljna teritorialna gasilska društva,8,56,0,0,,
2007,8.449,55.497,0,35,636.462,,Požari na prometnih sredstvih,782,4.655,0,0,60.990,,požari na sredstvih vodnega prometa,9,54,,,2.473,,Poklicne gasilske enote,6,37,,,2.473,
2007,8.449,55.497,0,35,636.462,,Požari na prometnih sredstvih,782,4.655,0,0,60.990,,požari na sredstvih vodnega prometa,9,54,,,2.473,,Prostovoljna teritorialna gasilska društva,3,17,,,,
2007,8.449,55.497,0,35,636.462,,Požari v naravi oziroma na prostem,3.262,19.778,0,7,195.919,,požari na gozdnih in grmovnih površinah,884,6.391,0,2,42.136,,Industrijska gasilska društva,1,14,,,580,
2007,8.449,55.497,0,35,636.462,,Požari v naravi oziroma na prostem,3.262,19.778,0,7,195.919,,požari na gozdnih in grmovnih površinah,884,6.391,0,2,42.136,,Poklicne gasilske enote,163,704,0,0,6.737,
2007,8.449,55.497,0,35,636.462,,Požari v naravi oziroma na prostem,3.262,19.778,0,7,195.919,,požari na gozdnih in grmovnih površinah,884,6.391,0,2,42.136,,Prostovoljna teritorialna gasilska društva,720,5.673,0,2,34.819,
2007,8.449,55.497,0,35,636.462,,Požari v naravi oziroma na prostem,3.262,19.778,0,7,195.919,,požari na obdelanih površinah,144,773,0,0,5.527,,Poklicne gasilske enote,51,190,,,1.310,
2007,8.449,55.497,0,35,636.462,,Požari v naravi oziroma na prostem,3.262,19.778,0,7,195.919,,požari na obdelanih površinah,144,773,0,0,5.527,,Prostovoljna teritorialna gasilska društva,93,583,0,0,4.217,
2007,8.449,55.497,0,35,636.462,,Požari v naravi oziroma na prostem,3.262,19.778,0,7,195.919,,požari na travniških površinah,1.100,6.584,0,4,54.162,,Industrijska gasilska društva,1,1,,,,
2007,8.449,55.497,0,35,636.462,,Požari v naravi oziroma na prostem,3.262,19.778,0,7,195.919,,požari na travniških površinah,1.100,6.584,0,4,54.162,,Poklicne gasilske enote,278,985,0,0,23.026,
2007,8.449,55.497,0,35,636.462,,Požari v naravi oziroma na prostem,3.262,19.778,0,7,195.919,,požari na travniških površinah,1.100,6.584,0,4,54.162,,Prostovoljna teritorialna gasilska društva,821,5.598,0,4,31.136,
2007,8.449,55.497,0,35,636.462,,Požari v naravi oziroma na prostem,3.262,19.778,0,7,195.919,,"požari na smetiščih, odlagališčih",556,2.976,0,1,64.947,,Industrijska gasilska društva,1,3,,,,
2007,8.449,55.497,0,35,636.462,,Požari v naravi oziroma na prostem,3.262,19.778,0,7,195.919,,"požari na smetiščih, odlagališčih",556,2.976,0,1,64.947,,Poklicne gasilske enote,236,1.043,0,0,20.817,
2007,8.449,55.497,0,35,636.462,,Požari v naravi oziroma na prostem,3.262,19.778,0,7,195.919,,"požari na smetiščih, odlagališčih",556,2.976,0,1,64.947,,Prostovoljna teritorialna gasilska društva,319,1.930,0,1,44.130,
2007,8.449,55.497,0,35,636.462,,Požari v naravi oziroma na prostem,3.262,19.778,0,7,195.919,,drugi požari v naravi oziroma na prostem,578,3.054,0,0,29.147,,Poklicne gasilske enote,284,1.126,0,0,18.135,
2007,8.449,55.497,0,35,636.462,,Požari v naravi oziroma na prostem,3.262,19.778,0,7,195.919,,drugi požari v naravi oziroma na prostem,578,3.054,0,0,29.147,,Prostovoljna teritorialna gasilska društva,294,1.928,0,0,11.012,
2007,8.449,55.497,0,35,636.462,,Požari v komunalnih in drugih zabojnikih,691,2.586,0,3,32.543,,požari v komunalnih in drugih zabojnikih,691,2.586,0,3,32.543,,Industrijska gasilska društva,3,5,,,,
2007,8.449,55.497,0,35,636.462,,Požari v komunalnih in drugih zabojnikih,691,2.586,0,3,32.543,,požari v komunalnih in drugih zabojnikih,691,2.586,0,3,32.543,,Poklicne gasilske enote,451,1.397,0,2,22.412,
2007,8.449,55.497,0,35,636.462,,Požari v komunalnih in drugih zabojnikih,691,2.586,0,3,32.543,,požari v komunalnih in drugih zabojnikih,691,2.586,0,3,32.543,,Prostovoljna teritorialna gasilska društva,237,1.184,0,1,10.131,
2006,8.550,50.975,0,21,1.303.565,,Požari v objektih,3.507,25.766,0,13,786.466,,Stanovanjske stavbe,1.807,13.102,0,3,625.718,,Industrijska gasilska društva,2,17,,,89,
2006,8.550,50.975,0,21,1.303.565,,Požari v objektih,3.507,25.766,0,13,786.466,,Stanovanjske stavbe,1.807,13.102,0,3,625.718,,Poklicne gasilske enote,537,3.247,0,0,64.768,
2006,8.550,50.975,0,21,1.303.565,,Požari v objektih,3.507,25.766,0,13,786.466,,Stanovanjske stavbe,1.807,13.102,0,3,625.718,,Prostovoljna teritorialna gasilska društva,1.268,9.838,0,3,560.860,
2006,8.550,50.975,0,21,1.303.565,,Požari v objektih,3.507,25.766,0,13,786.466,,Nestanovanjske stavbe,1.518,11.465,0,10,144.388,,Industrijska gasilska društva,8,45,,,801,
2006,8.550,50.975,0,21,1.303.565,,Požari v objektih,3.507,25.766,0,13,786.466,,Nestanovanjske stavbe,1.518,11.465,0,10,144.388,,Poklicne gasilske enote,558,2.960,0,1,38.566,
2006,8.550,50.975,0,21,1.303.565,,Požari v objektih,3.507,25.766,0,13,786.466,,Nestanovanjske stavbe,1.518,11.465,0,10,144.388,,Prostovoljna teritorialna gasilska društva,952,8.460,0,9,105.022,
2006,8.550,50.975,0,21,1.303.565,,Požari v objektih,3.507,25.766,0,13,786.466,,Objekti transportne infrastrukture,9,44,,,318,,Poklicne gasilske enote,6,21,,,318,
2006,8.550,50.975,0,21,1.303.565,,Požari v objektih,3.507,25.766,0,13,786.466,,Objekti transportne infrastrukture,9,44,,,318,,Prostovoljna teritorialna gasilska društva,3,23,,,,
2006,8.550,50.975,0,21,1.303.565,,Požari v objektih,3.507,25.766,0,13,786.466,,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",69,356,0,0,3.142,,Poklicne gasilske enote,21,61,,,1.432,
2006,8.550,50.975,0,21,1.303.565,,Požari v objektih,3.507,25.766,0,13,786.466,,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",69,356,0,0,3.142,,Prostovoljna teritorialna gasilska društva,48,295,0,0,1.710,
2006,8.550,50.975,0,21,1.303.565,,Požari v objektih,3.507,25.766,0,13,786.466,,Kompleksni industrijski objekti,4,30,,,,,Poklicne gasilske enote,3,22,,,,
2006,8.550,50.975,0,21,1.303.565,,Požari v objektih,3.507,25.766,0,13,786.466,,Kompleksni industrijski objekti,4,30,,,,,Prostovoljna teritorialna gasilska društva,1,8,,,,
2006,8.550,50.975,0,21,1.303.565,,Požari v objektih,3.507,25.766,0,13,786.466,,Drugi gradbeni inženirski objekti,100,769,0,0,12.900,,Poklicne gasilske enote,43,259,0,0,8.093,
2006,8.550,50.975,0,21,1.303.565,,Požari v objektih,3.507,25.766,0,13,786.466,,Drugi gradbeni inženirski objekti,100,769,0,0,12.900,,Prostovoljna teritorialna gasilska društva,57,510,0,0,4.807,
2006,8.550,50.975,0,21,1.303.565,,Požari na prometnih sredstvih,777,4.334,0,0,97.103,,požari na sredstvih cestnega prometa,693,3.814,0,0,92.852,,Poklicne gasilske enote,367,1.756,0,0,29.245,
2006,8.550,50.975,0,21,1.303.565,,Požari na prometnih sredstvih,777,4.334,0,0,97.103,,požari na sredstvih cestnega prometa,693,3.814,0,0,92.852,,Prostovoljna teritorialna gasilska društva,326,2.058,0,0,63.607,
2006,8.550,50.975,0,21,1.303.565,,Požari na prometnih sredstvih,777,4.334,0,0,97.103,,"požari na delovnih, kmetijskih in gradbenih strojih",50,341,0,0,2.618,,Poklicne gasilske enote,7,31,0,0,1.740,
2006,8.550,50.975,0,21,1.303.565,,Požari na prometnih sredstvih,777,4.334,0,0,97.103,,"požari na delovnih, kmetijskih in gradbenih strojih",50,341,0,0,2.618,,Prostovoljna teritorialna gasilska društva,43,310,0,0,878,
2006,8.550,50.975,0,21,1.303.565,,Požari na prometnih sredstvih,777,4.334,0,0,97.103,,požari na sredstvih železniškega prometa,25,142,0,0,1.633,,Industrijska gasilska društva,1,2,,,,
2006,8.550,50.975,0,21,1.303.565,,Požari na prometnih sredstvih,777,4.334,0,0,97.103,,požari na sredstvih železniškega prometa,25,142,0,0,1.633,,Poklicne gasilske enote,8,52,0,0,1.633,
2006,8.550,50.975,0,21,1.303.565,,Požari na prometnih sredstvih,777,4.334,0,0,97.103,,požari na sredstvih železniškega prometa,25,142,0,0,1.633,,Prostovoljna teritorialna gasilska društva,16,88,,,,
2006,8.550,50.975,0,21,1.303.565,,Požari na prometnih sredstvih,777,4.334,0,0,97.103,,požari na sredstvih zračnega prometa,1,7,,,,,Prostovoljna teritorialna gasilska društva,1,7,,,,
2006,8.550,50.975,0,21,1.303.565,,Požari na prometnih sredstvih,777,4.334,0,0,97.103,,požari na sredstvih vodnega prometa,8,30,,,,,Poklicne gasilske enote,5,25,,,,
2006,8.550,50.975,0,21,1.303.565,,Požari na prometnih sredstvih,777,4.334,0,0,97.103,,požari na sredstvih vodnega prometa,8,30,,,,,Prostovoljna teritorialna gasilska društva,3,5,,,,
2006,8.550,50.975,0,21,1.303.565,,Požari v naravi oziroma na prostem,3.592,18.262,0,7,398.978,,požari na gozdnih in grmovnih površinah,1.445,7.239,0,5,234.372,,Industrijska gasilska društva,3,9,,,313,
2006,8.550,50.975,0,21,1.303.565,,Požari v naravi oziroma na prostem,3.592,18.262,0,7,398.978,,požari na gozdnih in grmovnih površinah,1.445,7.239,0,5,234.372,,Poklicne gasilske enote,142,603,0,0,9.623,
