Textbox1
"Omejitev izpisa:
Skupina dogodkov: Požari v naravi oziroma na prostem, Požari v komunalnih in drugih zabojnikih, Požari na prometnih sredstvih, Požari v objektih"

Povzrocitev,Leto,PKID,Textbox6
Požari v objektih,2010,1.361,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",25,Neznano,12,do 10.000 €,1,2.274
Požari v objektih,2011,2.070,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",55,Neznano,29,do 10.000 €,10,4.840
Požari v objektih,2012,2.199,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",52,Neznano,20,do 10.000 €,2,5.564
Požari v objektih,2013,2.073,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",43,Neznano,16,do 10.000 €,7,4.175
Požari v objektih,2014,1.989,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",65,Neznano,26,do 10.000 €,8,3.593
Požari v objektih,2015,2.119,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",44,Neznano,17,do 10.000 €,10,4.256
Požari v objektih,2016,2.221,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",45,Neznano,23,do 10.000 €,14,4.402
Požari v objektih,2017,2.007,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",45,Neznano,21,do 10.000 €,16,4.913
Požari v objektih,2005,1.431,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",29,Neznano,4,10.000 € - 50.000 €,1,3.097
Požari v objektih,2006,1.785,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",48,Neznano,7,10.000 € - 50.000 €,0,3.644
Požari v objektih,2007,1.900,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",43,Neznano,8,10.000 € - 50.000 €,0,3.413
Požari v objektih,2008,1.752,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",17,Neznano,4,10.000 € - 50.000 €,0,3.218
Požari v objektih,2009,1.822,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",14,Neznano,6,10.000 € - 50.000 €,0,3.065
Požari v objektih,2010,1.361,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",25,Neznano,12,10.000 € - 50.000 €,1,2.274
Požari v objektih,2011,2.070,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",55,Neznano,29,10.000 € - 50.000 €,0,4.840
Požari v objektih,2012,2.199,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",52,Neznano,20,10.000 € - 50.000 €,0,5.564
Požari v objektih,2013,2.073,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",43,Neznano,16,10.000 € - 50.000 €,0,4.175
Požari v objektih,2014,1.989,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",65,Neznano,26,10.000 € - 50.000 €,0,3.593
Požari v objektih,2015,2.119,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",44,Neznano,17,10.000 € - 50.000 €,0,4.256
Požari v objektih,2016,2.221,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",45,Neznano,23,10.000 € - 50.000 €,0,4.402
Požari v objektih,2017,2.007,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",45,Neznano,21,10.000 € - 50.000 €,0,4.913
Požari v objektih,2005,1.431,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",29,Neznano,4,Ni podatka,1,3.097
Požari v objektih,2006,1.785,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",48,Neznano,7,Ni podatka,6,3.644
Požari v objektih,2007,1.900,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",43,Neznano,8,Ni podatka,6,3.413
Požari v objektih,2008,1.752,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",17,Neznano,4,Ni podatka,4,3.218
Požari v objektih,2009,1.822,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",14,Neznano,6,Ni podatka,5,3.065
Požari v objektih,2010,1.361,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",25,Neznano,12,Ni podatka,8,2.274
Požari v objektih,2011,2.070,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",55,Neznano,29,Ni podatka,16,4.840
Požari v objektih,2012,2.199,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",52,Neznano,20,Ni podatka,17,5.564
Požari v objektih,2013,2.073,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",43,Neznano,16,Ni podatka,6,4.175
Požari v objektih,2014,1.989,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",65,Neznano,26,Ni podatka,16,3.593
Požari v objektih,2015,2.119,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",44,Neznano,17,Ni podatka,6,4.256
Požari v objektih,2016,2.221,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",45,Neznano,23,Ni podatka,2,4.402
Požari v objektih,2017,2.007,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",45,Neznano,21,Ni podatka,0,4.913
Požari v objektih,2005,1.431,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",29,"Ni podatkov, ni bilo požara",3,Ni gmotne škode,1,3.097
Požari v objektih,2006,1.785,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",48,"Ni podatkov, ni bilo požara",15,Ni gmotne škode,3,3.644
Požari v objektih,2007,1.900,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",43,"Ni podatkov, ni bilo požara",7,Ni gmotne škode,1,3.413
Požari v objektih,2008,1.752,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",17,"Ni podatkov, ni bilo požara",5,Ni gmotne škode,2,3.218
Požari v objektih,2009,1.822,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",14,"Ni podatkov, ni bilo požara",1,Ni gmotne škode,0,3.065
Požari v objektih,2010,1.361,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",25,"Ni podatkov, ni bilo požara",0,Ni gmotne škode,0,2.274
Požari v objektih,2011,2.070,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",55,"Ni podatkov, ni bilo požara",2,Ni gmotne škode,0,4.840
Požari v objektih,2012,2.199,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",52,"Ni podatkov, ni bilo požara",3,Ni gmotne škode,1,5.564
Požari v objektih,2013,2.073,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",43,"Ni podatkov, ni bilo požara",5,Ni gmotne škode,1,4.175
Požari v objektih,2014,1.989,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",65,"Ni podatkov, ni bilo požara",8,Ni gmotne škode,3,3.593
Požari v objektih,2015,2.119,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",44,"Ni podatkov, ni bilo požara",1,Ni gmotne škode,1,4.256
Požari v objektih,2016,2.221,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",45,"Ni podatkov, ni bilo požara",5,Ni gmotne škode,4,4.402
Požari v objektih,2017,2.007,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",45,"Ni podatkov, ni bilo požara",5,Ni gmotne škode,5,4.913
Požari v objektih,2005,1.431,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",29,"Ni podatkov, ni bilo požara",3,do 10.000 €,1,3.097
Požari v objektih,2006,1.785,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",48,"Ni podatkov, ni bilo požara",15,do 10.000 €,1,3.644
Požari v objektih,2007,1.900,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",43,"Ni podatkov, ni bilo požara",7,do 10.000 €,0,3.413
Požari v objektih,2008,1.752,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",17,"Ni podatkov, ni bilo požara",5,do 10.000 €,0,3.218
Požari v objektih,2009,1.822,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",14,"Ni podatkov, ni bilo požara",1,do 10.000 €,0,3.065
Požari v objektih,2010,1.361,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",25,"Ni podatkov, ni bilo požara",0,do 10.000 €,0,2.274
Požari v objektih,2011,2.070,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",55,"Ni podatkov, ni bilo požara",2,do 10.000 €,0,4.840
Požari v objektih,2012,2.199,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",52,"Ni podatkov, ni bilo požara",3,do 10.000 €,1,5.564
Požari v objektih,2013,2.073,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",43,"Ni podatkov, ni bilo požara",5,do 10.000 €,2,4.175
Požari v objektih,2014,1.989,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",65,"Ni podatkov, ni bilo požara",8,do 10.000 €,0,3.593
Požari v objektih,2015,2.119,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",44,"Ni podatkov, ni bilo požara",1,do 10.000 €,0,4.256
Požari v objektih,2016,2.221,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",45,"Ni podatkov, ni bilo požara",5,do 10.000 €,0,4.402
Požari v objektih,2017,2.007,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",45,"Ni podatkov, ni bilo požara",5,do 10.000 €,0,4.913
Požari v objektih,2005,1.431,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",29,"Ni podatkov, ni bilo požara",3,10.000 € - 50.000 €,1,3.097
Požari v objektih,2006,1.785,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",48,"Ni podatkov, ni bilo požara",15,10.000 € - 50.000 €,0,3.644
Požari v objektih,2007,1.900,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",43,"Ni podatkov, ni bilo požara",7,10.000 € - 50.000 €,1,3.413
Požari v objektih,2008,1.752,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",17,"Ni podatkov, ni bilo požara",5,10.000 € - 50.000 €,0,3.218
Požari v objektih,2009,1.822,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",14,"Ni podatkov, ni bilo požara",1,10.000 € - 50.000 €,0,3.065
Požari v objektih,2010,1.361,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",25,"Ni podatkov, ni bilo požara",0,10.000 € - 50.000 €,0,2.274
Požari v objektih,2011,2.070,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",55,"Ni podatkov, ni bilo požara",2,10.000 € - 50.000 €,0,4.840
Požari v objektih,2012,2.199,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",52,"Ni podatkov, ni bilo požara",3,10.000 € - 50.000 €,0,5.564
Požari v objektih,2013,2.073,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",43,"Ni podatkov, ni bilo požara",5,10.000 € - 50.000 €,0,4.175
Požari v objektih,2014,1.989,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",65,"Ni podatkov, ni bilo požara",8,10.000 € - 50.000 €,0,3.593
Požari v objektih,2015,2.119,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",44,"Ni podatkov, ni bilo požara",1,10.000 € - 50.000 €,0,4.256
Požari v objektih,2016,2.221,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",45,"Ni podatkov, ni bilo požara",5,10.000 € - 50.000 €,0,4.402
Požari v objektih,2017,2.007,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",45,"Ni podatkov, ni bilo požara",5,10.000 € - 50.000 €,0,4.913
Požari v objektih,2005,1.431,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",29,"Ni podatkov, ni bilo požara",3,Ni podatka,0,3.097
Požari v objektih,2006,1.785,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",48,"Ni podatkov, ni bilo požara",15,Ni podatka,11,3.644
Požari v objektih,2007,1.900,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",43,"Ni podatkov, ni bilo požara",7,Ni podatka,5,3.413
Požari v objektih,2008,1.752,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",17,"Ni podatkov, ni bilo požara",5,Ni podatka,3,3.218
Požari v objektih,2009,1.822,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",14,"Ni podatkov, ni bilo požara",1,Ni podatka,1,3.065
Požari v objektih,2010,1.361,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",25,"Ni podatkov, ni bilo požara",0,Ni podatka,0,2.274
Požari v objektih,2011,2.070,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",55,"Ni podatkov, ni bilo požara",2,Ni podatka,2,4.840
Požari v objektih,2012,2.199,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",52,"Ni podatkov, ni bilo požara",3,Ni podatka,1,5.564
Požari v objektih,2013,2.073,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",43,"Ni podatkov, ni bilo požara",5,Ni podatka,2,4.175
Požari v objektih,2014,1.989,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",65,"Ni podatkov, ni bilo požara",8,Ni podatka,5,3.593
Požari v objektih,2015,2.119,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",44,"Ni podatkov, ni bilo požara",1,Ni podatka,0,4.256
Požari v objektih,2016,2.221,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",45,"Ni podatkov, ni bilo požara",5,Ni podatka,1,4.402
Požari v objektih,2017,2.007,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",45,"Ni podatkov, ni bilo požara",5,Ni podatka,0,4.913
Požari v objektih,2005,1.431,Kompleksni industrijski objekti,23,Malomarnost kot posledica kmetijskih opravil,0,Ni gmotne škode,0,3.097
Požari v objektih,2006,1.785,Kompleksni industrijski objekti,2,Malomarnost kot posledica kmetijskih opravil,0,Ni gmotne škode,0,3.644
Požari v objektih,2007,1.900,Kompleksni industrijski objekti,7,Malomarnost kot posledica kmetijskih opravil,0,Ni gmotne škode,0,3.413
Požari v objektih,2008,1.752,Kompleksni industrijski objekti,6,Malomarnost kot posledica kmetijskih opravil,0,Ni gmotne škode,0,3.218
Požari v objektih,2009,1.822,Kompleksni industrijski objekti,13,Malomarnost kot posledica kmetijskih opravil,0,Ni gmotne škode,0,3.065
Požari v objektih,2010,1.361,Kompleksni industrijski objekti,48,Malomarnost kot posledica kmetijskih opravil,0,Ni gmotne škode,0,2.274
Požari v objektih,2011,2.070,Kompleksni industrijski objekti,169,Malomarnost kot posledica kmetijskih opravil,0,Ni gmotne škode,0,4.840
Požari v objektih,2012,2.199,Kompleksni industrijski objekti,169,Malomarnost kot posledica kmetijskih opravil,0,Ni gmotne škode,0,5.564
Požari v objektih,2013,2.073,Kompleksni industrijski objekti,164,Malomarnost kot posledica kmetijskih opravil,0,Ni gmotne škode,0,4.175
Požari v objektih,2014,1.989,Kompleksni industrijski objekti,159,Malomarnost kot posledica kmetijskih opravil,0,Ni gmotne škode,0,3.593
Požari v objektih,2015,2.119,Kompleksni industrijski objekti,151,Malomarnost kot posledica kmetijskih opravil,0,Ni gmotne škode,0,4.256
Požari v objektih,2016,2.221,Kompleksni industrijski objekti,162,Malomarnost kot posledica kmetijskih opravil,0,Ni gmotne škode,0,4.402
Požari v objektih,2017,2.007,Kompleksni industrijski objekti,155,Malomarnost kot posledica kmetijskih opravil,1,Ni gmotne škode,1,4.913
Požari v objektih,2005,1.431,Kompleksni industrijski objekti,23,Malomarnost kot posledica industrijskih aktivnosti,0,Ni gmotne škode,0,3.097
Požari v objektih,2006,1.785,Kompleksni industrijski objekti,2,Malomarnost kot posledica industrijskih aktivnosti,0,Ni gmotne škode,0,3.644
Požari v objektih,2007,1.900,Kompleksni industrijski objekti,7,Malomarnost kot posledica industrijskih aktivnosti,0,Ni gmotne škode,0,3.413
Požari v objektih,2008,1.752,Kompleksni industrijski objekti,6,Malomarnost kot posledica industrijskih aktivnosti,0,Ni gmotne škode,0,3.218
Požari v objektih,2009,1.822,Kompleksni industrijski objekti,13,Malomarnost kot posledica industrijskih aktivnosti,2,Ni gmotne škode,1,3.065
Požari v objektih,2010,1.361,Kompleksni industrijski objekti,48,Malomarnost kot posledica industrijskih aktivnosti,2,Ni gmotne škode,0,2.274
Požari v objektih,2011,2.070,Kompleksni industrijski objekti,169,Malomarnost kot posledica industrijskih aktivnosti,11,Ni gmotne škode,5,4.840
Požari v objektih,2012,2.199,Kompleksni industrijski objekti,169,Malomarnost kot posledica industrijskih aktivnosti,11,Ni gmotne škode,3,5.564
Požari v objektih,2013,2.073,Kompleksni industrijski objekti,164,Malomarnost kot posledica industrijskih aktivnosti,5,Ni gmotne škode,2,4.175
Požari v objektih,2014,1.989,Kompleksni industrijski objekti,159,Malomarnost kot posledica industrijskih aktivnosti,11,Ni gmotne škode,2,3.593
Požari v objektih,2015,2.119,Kompleksni industrijski objekti,151,Malomarnost kot posledica industrijskih aktivnosti,9,Ni gmotne škode,5,4.256
Požari v objektih,2016,2.221,Kompleksni industrijski objekti,162,Malomarnost kot posledica industrijskih aktivnosti,6,Ni gmotne škode,0,4.402
Požari v objektih,2017,2.007,Kompleksni industrijski objekti,155,Malomarnost kot posledica industrijskih aktivnosti,4,Ni gmotne škode,2,4.913
Požari v objektih,2005,1.431,Kompleksni industrijski objekti,23,Malomarnost kot posledica industrijskih aktivnosti,0,do 10.000 €,0,3.097
Požari v objektih,2006,1.785,Kompleksni industrijski objekti,2,Malomarnost kot posledica industrijskih aktivnosti,0,do 10.000 €,0,3.644
Požari v objektih,2007,1.900,Kompleksni industrijski objekti,7,Malomarnost kot posledica industrijskih aktivnosti,0,do 10.000 €,0,3.413
Požari v objektih,2008,1.752,Kompleksni industrijski objekti,6,Malomarnost kot posledica industrijskih aktivnosti,0,do 10.000 €,0,3.218
Požari v objektih,2009,1.822,Kompleksni industrijski objekti,13,Malomarnost kot posledica industrijskih aktivnosti,2,do 10.000 €,1,3.065
Požari v objektih,2010,1.361,Kompleksni industrijski objekti,48,Malomarnost kot posledica industrijskih aktivnosti,2,do 10.000 €,0,2.274
Požari v objektih,2011,2.070,Kompleksni industrijski objekti,169,Malomarnost kot posledica industrijskih aktivnosti,11,do 10.000 €,0,4.840
Požari v objektih,2012,2.199,Kompleksni industrijski objekti,169,Malomarnost kot posledica industrijskih aktivnosti,11,do 10.000 €,4,5.564
Požari v objektih,2013,2.073,Kompleksni industrijski objekti,164,Malomarnost kot posledica industrijskih aktivnosti,5,do 10.000 €,1,4.175
Požari v objektih,2014,1.989,Kompleksni industrijski objekti,159,Malomarnost kot posledica industrijskih aktivnosti,11,do 10.000 €,3,3.593
Požari v objektih,2015,2.119,Kompleksni industrijski objekti,151,Malomarnost kot posledica industrijskih aktivnosti,9,do 10.000 €,4,4.256
Požari v objektih,2016,2.221,Kompleksni industrijski objekti,162,Malomarnost kot posledica industrijskih aktivnosti,6,do 10.000 €,3,4.402
Požari v objektih,2017,2.007,Kompleksni industrijski objekti,155,Malomarnost kot posledica industrijskih aktivnosti,4,do 10.000 €,2,4.913
Požari v objektih,2005,1.431,Kompleksni industrijski objekti,23,Malomarnost kot posledica industrijskih aktivnosti,0,10.000 € - 50.000 €,0,3.097
Požari v objektih,2006,1.785,Kompleksni industrijski objekti,2,Malomarnost kot posledica industrijskih aktivnosti,0,10.000 € - 50.000 €,0,3.644
Požari v objektih,2007,1.900,Kompleksni industrijski objekti,7,Malomarnost kot posledica industrijskih aktivnosti,0,10.000 € - 50.000 €,0,3.413
Požari v objektih,2008,1.752,Kompleksni industrijski objekti,6,Malomarnost kot posledica industrijskih aktivnosti,0,10.000 € - 50.000 €,0,3.218
Požari v objektih,2009,1.822,Kompleksni industrijski objekti,13,Malomarnost kot posledica industrijskih aktivnosti,2,10.000 € - 50.000 €,0,3.065
Požari v objektih,2010,1.361,Kompleksni industrijski objekti,48,Malomarnost kot posledica industrijskih aktivnosti,2,10.000 € - 50.000 €,0,2.274
Požari v objektih,2011,2.070,Kompleksni industrijski objekti,169,Malomarnost kot posledica industrijskih aktivnosti,11,10.000 € - 50.000 €,1,4.840
Požari v objektih,2012,2.199,Kompleksni industrijski objekti,169,Malomarnost kot posledica industrijskih aktivnosti,11,10.000 € - 50.000 €,0,5.564
Požari v objektih,2013,2.073,Kompleksni industrijski objekti,164,Malomarnost kot posledica industrijskih aktivnosti,5,10.000 € - 50.000 €,0,4.175
Požari v objektih,2014,1.989,Kompleksni industrijski objekti,159,Malomarnost kot posledica industrijskih aktivnosti,11,10.000 € - 50.000 €,0,3.593
Požari v objektih,2015,2.119,Kompleksni industrijski objekti,151,Malomarnost kot posledica industrijskih aktivnosti,9,10.000 € - 50.000 €,0,4.256
Požari v objektih,2016,2.221,Kompleksni industrijski objekti,162,Malomarnost kot posledica industrijskih aktivnosti,6,10.000 € - 50.000 €,1,4.402
Požari v objektih,2017,2.007,Kompleksni industrijski objekti,155,Malomarnost kot posledica industrijskih aktivnosti,4,10.000 € - 50.000 €,0,4.913
Požari v objektih,2005,1.431,Kompleksni industrijski objekti,23,Malomarnost kot posledica industrijskih aktivnosti,0,100.000 € - 1.000.000 €,0,3.097
Požari v objektih,2006,1.785,Kompleksni industrijski objekti,2,Malomarnost kot posledica industrijskih aktivnosti,0,100.000 € - 1.000.000 €,0,3.644
Požari v objektih,2007,1.900,Kompleksni industrijski objekti,7,Malomarnost kot posledica industrijskih aktivnosti,0,100.000 € - 1.000.000 €,0,3.413
Požari v objektih,2008,1.752,Kompleksni industrijski objekti,6,Malomarnost kot posledica industrijskih aktivnosti,0,100.000 € - 1.000.000 €,0,3.218
Požari v objektih,2009,1.822,Kompleksni industrijski objekti,13,Malomarnost kot posledica industrijskih aktivnosti,2,100.000 € - 1.000.000 €,0,3.065
Požari v objektih,2010,1.361,Kompleksni industrijski objekti,48,Malomarnost kot posledica industrijskih aktivnosti,2,100.000 € - 1.000.000 €,0,2.274
Požari v objektih,2011,2.070,Kompleksni industrijski objekti,169,Malomarnost kot posledica industrijskih aktivnosti,11,100.000 € - 1.000.000 €,0,4.840
Požari v objektih,2012,2.199,Kompleksni industrijski objekti,169,Malomarnost kot posledica industrijskih aktivnosti,11,100.000 € - 1.000.000 €,1,5.564
Požari v objektih,2013,2.073,Kompleksni industrijski objekti,164,Malomarnost kot posledica industrijskih aktivnosti,5,100.000 € - 1.000.000 €,1,4.175
Požari v objektih,2014,1.989,Kompleksni industrijski objekti,159,Malomarnost kot posledica industrijskih aktivnosti,11,100.000 € - 1.000.000 €,0,3.593
Požari v objektih,2015,2.119,Kompleksni industrijski objekti,151,Malomarnost kot posledica industrijskih aktivnosti,9,100.000 € - 1.000.000 €,0,4.256
Požari v objektih,2016,2.221,Kompleksni industrijski objekti,162,Malomarnost kot posledica industrijskih aktivnosti,6,100.000 € - 1.000.000 €,0,4.402
Požari v objektih,2017,2.007,Kompleksni industrijski objekti,155,Malomarnost kot posledica industrijskih aktivnosti,4,100.000 € - 1.000.000 €,0,4.913
Požari v objektih,2005,1.431,Kompleksni industrijski objekti,23,Malomarnost kot posledica industrijskih aktivnosti,0,Ni podatka,0,3.097
Požari v objektih,2006,1.785,Kompleksni industrijski objekti,2,Malomarnost kot posledica industrijskih aktivnosti,0,Ni podatka,0,3.644
Požari v objektih,2007,1.900,Kompleksni industrijski objekti,7,Malomarnost kot posledica industrijskih aktivnosti,0,Ni podatka,0,3.413
Požari v objektih,2008,1.752,Kompleksni industrijski objekti,6,Malomarnost kot posledica industrijskih aktivnosti,0,Ni podatka,0,3.218
Požari v objektih,2009,1.822,Kompleksni industrijski objekti,13,Malomarnost kot posledica industrijskih aktivnosti,2,Ni podatka,0,3.065
Požari v objektih,2010,1.361,Kompleksni industrijski objekti,48,Malomarnost kot posledica industrijskih aktivnosti,2,Ni podatka,2,2.274
Požari v objektih,2011,2.070,Kompleksni industrijski objekti,169,Malomarnost kot posledica industrijskih aktivnosti,11,Ni podatka,5,4.840
Požari v objektih,2012,2.199,Kompleksni industrijski objekti,169,Malomarnost kot posledica industrijskih aktivnosti,11,Ni podatka,3,5.564
Požari v objektih,2013,2.073,Kompleksni industrijski objekti,164,Malomarnost kot posledica industrijskih aktivnosti,5,Ni podatka,1,4.175
Požari v objektih,2014,1.989,Kompleksni industrijski objekti,159,Malomarnost kot posledica industrijskih aktivnosti,11,Ni podatka,6,3.593
Požari v objektih,2015,2.119,Kompleksni industrijski objekti,151,Malomarnost kot posledica industrijskih aktivnosti,9,Ni podatka,0,4.256
Požari v objektih,2016,2.221,Kompleksni industrijski objekti,162,Malomarnost kot posledica industrijskih aktivnosti,6,Ni podatka,2,4.402
Požari v objektih,2017,2.007,Kompleksni industrijski objekti,155,Malomarnost kot posledica industrijskih aktivnosti,4,Ni podatka,0,4.913
Požari v objektih,2005,1.431,Kompleksni industrijski objekti,23,Malomarnost kot posledica vojaških aktivnosti,1,Ni podatka,1,3.097
Požari v objektih,2006,1.785,Kompleksni industrijski objekti,2,Malomarnost kot posledica vojaških aktivnosti,0,Ni podatka,0,3.644
Požari v objektih,2007,1.900,Kompleksni industrijski objekti,7,Malomarnost kot posledica vojaških aktivnosti,0,Ni podatka,0,3.413
Požari v objektih,2008,1.752,Kompleksni industrijski objekti,6,Malomarnost kot posledica vojaških aktivnosti,0,Ni podatka,0,3.218
Požari v objektih,2009,1.822,Kompleksni industrijski objekti,13,Malomarnost kot posledica vojaških aktivnosti,0,Ni podatka,0,3.065
Požari v objektih,2010,1.361,Kompleksni industrijski objekti,48,Malomarnost kot posledica vojaških aktivnosti,0,Ni podatka,0,2.274
Požari v objektih,2011,2.070,Kompleksni industrijski objekti,169,Malomarnost kot posledica vojaških aktivnosti,0,Ni podatka,0,4.840
Požari v objektih,2012,2.199,Kompleksni industrijski objekti,169,Malomarnost kot posledica vojaških aktivnosti,0,Ni podatka,0,5.564
Požari v objektih,2013,2.073,Kompleksni industrijski objekti,164,Malomarnost kot posledica vojaških aktivnosti,0,Ni podatka,0,4.175
Požari v objektih,2014,1.989,Kompleksni industrijski objekti,159,Malomarnost kot posledica vojaških aktivnosti,0,Ni podatka,0,3.593
Požari v objektih,2015,2.119,Kompleksni industrijski objekti,151,Malomarnost kot posledica vojaških aktivnosti,0,Ni podatka,0,4.256
Požari v objektih,2016,2.221,Kompleksni industrijski objekti,162,Malomarnost kot posledica vojaških aktivnosti,0,Ni podatka,0,4.402
Požari v objektih,2017,2.007,Kompleksni industrijski objekti,155,Malomarnost kot posledica vojaških aktivnosti,0,Ni podatka,0,4.913
Požari v objektih,2005,1.431,Kompleksni industrijski objekti,23,Malomarnost kot posledica drugih dejavnosti,0,Ni gmotne škode,0,3.097
Požari v objektih,2006,1.785,Kompleksni industrijski objekti,2,Malomarnost kot posledica drugih dejavnosti,0,Ni gmotne škode,0,3.644
Požari v objektih,2007,1.900,Kompleksni industrijski objekti,7,Malomarnost kot posledica drugih dejavnosti,0,Ni gmotne škode,0,3.413
Požari v objektih,2008,1.752,Kompleksni industrijski objekti,6,Malomarnost kot posledica drugih dejavnosti,0,Ni gmotne škode,0,3.218
Požari v objektih,2009,1.822,Kompleksni industrijski objekti,13,Malomarnost kot posledica drugih dejavnosti,0,Ni gmotne škode,0,3.065
Požari v objektih,2010,1.361,Kompleksni industrijski objekti,48,Malomarnost kot posledica drugih dejavnosti,0,Ni gmotne škode,0,2.274
Požari v objektih,2011,2.070,Kompleksni industrijski objekti,169,Malomarnost kot posledica drugih dejavnosti,14,Ni gmotne škode,4,4.840
Požari v objektih,2012,2.199,Kompleksni industrijski objekti,169,Malomarnost kot posledica drugih dejavnosti,5,Ni gmotne škode,2,5.564
Požari v objektih,2013,2.073,Kompleksni industrijski objekti,164,Malomarnost kot posledica drugih dejavnosti,5,Ni gmotne škode,2,4.175
Požari v objektih,2014,1.989,Kompleksni industrijski objekti,159,Malomarnost kot posledica drugih dejavnosti,1,Ni gmotne škode,0,3.593
Požari v objektih,2015,2.119,Kompleksni industrijski objekti,151,Malomarnost kot posledica drugih dejavnosti,5,Ni gmotne škode,3,4.256
