Textbox1
"Omejitev izpisa:
Skupina dogodkov: Požari v naravi oziroma na prostem, Požari v komunalnih in drugih zabojnikih, Požari na prometnih sredstvih, Požari v objektih"

Povzrocitev,Leto,PKID,Textbox6
Oseba je zaspala,2017,27,4.913
Vpliv alkohola in drog,2005,4,3.097
Vpliv alkohola in drog,2006,7,3.644
Vpliv alkohola in drog,2007,3,3.413
Vpliv alkohola in drog,2008,3,3.218
Vpliv alkohola in drog,2009,4,3.065
Vpliv alkohola in drog,2010,1,2.274
Vpliv alkohola in drog,2011,8,4.840
Vpliv alkohola in drog,2012,4,5.564
Vpliv alkohola in drog,2013,7,4.175
Vpliv alkohola in drog,2014,8,3.593
Vpliv alkohola in drog,2015,2,4.256
Vpliv alkohola in drog,2016,5,4.402
Vpliv alkohola in drog,2017,4,4.913
Nemočna oseba,2005,5,3.097
Nemočna oseba,2006,3,3.644
Nemočna oseba,2007,5,3.413
Nemočna oseba,2008,6,3.218
Nemočna oseba,2009,6,3.065
Nemočna oseba,2010,3,2.274
Nemočna oseba,2011,7,4.840
Nemočna oseba,2012,6,5.564
Nemočna oseba,2013,6,4.175
Nemočna oseba,2014,9,3.593
Nemočna oseba,2015,8,4.256
Nemočna oseba,2016,10,4.402
Nemočna oseba,2017,5,4.913
Psihično motena oseba,2005,1,3.097
Psihično motena oseba,2006,4,3.644
Psihično motena oseba,2007,7,3.413
Psihično motena oseba,2008,6,3.218
Psihično motena oseba,2009,7,3.065
Psihično motena oseba,2010,1,2.274
Psihično motena oseba,2011,4,4.840
Psihično motena oseba,2012,6,5.564
Psihično motena oseba,2013,10,4.175
Psihično motena oseba,2014,2,3.593
Psihično motena oseba,2015,11,4.256
Psihično motena oseba,2016,4,4.402
Psihično motena oseba,2017,3,4.913
Naravni pojavi,2005,56,3.097
Naravni pojavi,2006,96,3.644
Naravni pojavi,2007,80,3.413
Naravni pojavi,2008,76,3.218
Naravni pojavi,2009,71,3.065
Naravni pojavi,2010,33,2.274
Naravni pojavi,2011,119,4.840
Naravni pojavi,2012,96,5.564
Naravni pojavi,2013,102,4.175
Naravni pojavi,2014,102,3.593
Naravni pojavi,2015,88,4.256
Naravni pojavi,2016,92,4.402
Naravni pojavi,2017,131,4.913
Povzročile živali,2005,3,3.097
Povzročile živali,2006,4,3.644
Povzročile živali,2007,1,3.413
Povzročile živali,2008,3,3.218
Povzročile živali,2009,2,3.065
Povzročile živali,2010,2,2.274
Povzročile živali,2011,3,4.840
Povzročile živali,2012,3,5.564
Povzročile živali,2013,3,4.175
Povzročile živali,2014,5,3.593
Povzročile živali,2015,3,4.256
Povzročile živali,2016,2,4.402
Povzročile živali,2017,2,4.913
Drugo,2005,276,3.097
Drugo,2006,384,3.644
Drugo,2007,248,3.413
Drugo,2008,180,3.218
Drugo,2009,154,3.065
Drugo,2010,184,2.274
Drugo,2011,557,4.840
Drugo,2012,612,5.564
Drugo,2013,558,4.175
Drugo,2014,525,3.593
Drugo,2015,668,4.256
Drugo,2016,707,4.402
Drugo,2017,830,4.913
Neznano,2005,523,3.097
Neznano,2006,601,3.644
Neznano,2007,717,3.413
Neznano,2008,737,3.218
Neznano,2009,920,3.065
Neznano,2010,798,2.274
Neznano,2011,1.864,4.840
Neznano,2012,2.472,5.564
Neznano,2013,1.743,4.175
Neznano,2014,1.460,3.593
Neznano,2015,1.790,4.256
Neznano,2016,1.796,4.402
Neznano,2017,2.102,4.913
"Ni podatkov, ni bilo požara",2005,700,3.097
"Ni podatkov, ni bilo požara",2006,803,3.644
"Ni podatkov, ni bilo požara",2007,631,3.413
"Ni podatkov, ni bilo požara",2008,992,3.218
"Ni podatkov, ni bilo požara",2009,584,3.065
"Ni podatkov, ni bilo požara",2010,319,2.274
"Ni podatkov, ni bilo požara",2011,605,4.840
"Ni podatkov, ni bilo požara",2012,682,5.564
"Ni podatkov, ni bilo požara",2013,685,4.175
"Ni podatkov, ni bilo požara",2014,643,3.593
"Ni podatkov, ni bilo požara",2015,593,4.256
"Ni podatkov, ni bilo požara",2016,659,4.402
"Ni podatkov, ni bilo požara",2017,682,4.913

Skupina_dogodka1,Leto2,Textbox61,Dogodek1,Textbox66,Povzrocitev11,Textbox70,SkodaRang1,PKID2,Textbox55
Požari v objektih,2005,1.431,Stanovanjske stavbe,771,Malomarnost kot posledica prometnih aktivnostii,6,Ni gmotne škode,0,3.097
Požari v objektih,2006,1.785,Stanovanjske stavbe,961,Malomarnost kot posledica prometnih aktivnostii,1,Ni gmotne škode,0,3.644
Požari v objektih,2007,1.900,Stanovanjske stavbe,1.002,Malomarnost kot posledica prometnih aktivnostii,11,Ni gmotne škode,0,3.413
Požari v objektih,2008,1.752,Stanovanjske stavbe,1.003,Malomarnost kot posledica prometnih aktivnostii,4,Ni gmotne škode,0,3.218
Požari v objektih,2009,1.822,Stanovanjske stavbe,1.101,Malomarnost kot posledica prometnih aktivnostii,3,Ni gmotne škode,0,3.065
Požari v objektih,2010,1.361,Stanovanjske stavbe,850,Malomarnost kot posledica prometnih aktivnostii,2,Ni gmotne škode,0,2.274
Požari v objektih,2011,2.070,Stanovanjske stavbe,1.206,Malomarnost kot posledica prometnih aktivnostii,6,Ni gmotne škode,0,4.840
Požari v objektih,2012,2.199,Stanovanjske stavbe,1.302,Malomarnost kot posledica prometnih aktivnostii,1,Ni gmotne škode,1,5.564
Požari v objektih,2013,2.073,Stanovanjske stavbe,1.207,Malomarnost kot posledica prometnih aktivnostii,2,Ni gmotne škode,1,4.175
Požari v objektih,2014,1.989,Stanovanjske stavbe,1.123,Malomarnost kot posledica prometnih aktivnostii,4,Ni gmotne škode,1,3.593
Požari v objektih,2015,2.119,Stanovanjske stavbe,1.277,Malomarnost kot posledica prometnih aktivnostii,3,Ni gmotne škode,3,4.256
Požari v objektih,2016,2.221,Stanovanjske stavbe,1.401,Malomarnost kot posledica prometnih aktivnostii,1,Ni gmotne škode,1,4.402
