aktivnost,stevilo,enota
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",1,ČEPOVAN
NARAVNE NESREČE,2,ČEPOVAN
POŽARI IN EKSPLOZIJE,7,ČEPOVAN
TEHNIČNA IN DRUGA POMOČ,1,ČEPOVAN
POŽARI IN EKSPLOZIJE,1,ČERNELAVCI
TEHNIČNA IN DRUGA POMOČ,1,ČERNELAVCI
POŽARI IN EKSPLOZIJE,1,ČOLNIŠČE
POŽARI IN EKSPLOZIJE,2,ČRENŠOVCI
DRUGE NESREČE,1,ČRNI VRH
NARAVNE NESREČE,1,ČRNI VRH
POŽARI IN EKSPLOZIJE,5,ČRNI VRH
TEHNIČNA IN DRUGA POMOČ,2,ČRNI VRH
DRUGE NESREČE,2,ČRNOMELJ
NARAVNE NESREČE,1,ČRNOMELJ
NESREČE V PROMETU,26,ČRNOMELJ
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",8,ČRNOMELJ
POŽARI IN EKSPLOZIJE,14,ČRNOMELJ
TEHNIČNA IN DRUGA POMOČ,14,ČRNOMELJ
DRUGE NESREČE,3,ČRNUČE
JEDRSKI IN DRUGI DOGODKI,1,ČRNUČE
POŽARI IN EKSPLOZIJE,8,ČRNUČE
TEHNIČNA IN DRUGA POMOČ,2,ČRNUČE
POŽARI IN EKSPLOZIJE,4,DEČNO SELO
DRUGE NESREČE,1,DOB
POŽARI IN EKSPLOZIJE,1,DOB
TEHNIČNA IN DRUGA POMOČ,1,DOB
TEHNIČNA IN DRUGA POMOČ,1,DOB PRI ŠENTVIDU
POŽARI IN EKSPLOZIJE,1,DOBINDOL
POŽARI IN EKSPLOZIJE,4,DOBJE
POŽARI IN EKSPLOZIJE,2,DOBLIČE
POŽARI IN EKSPLOZIJE,5,DOBRAVA
DRUGE NESREČE,1,DOBRIŠA VAS PETROVČE
POŽARI IN EKSPLOZIJE,7,DOBRIŠA VAS PETROVČE
DRUGE NESREČE,1,DOBRNA
NARAVNE NESREČE,1,DOBRNA
POŽARI IN EKSPLOZIJE,7,DOBRNA
TEHNIČNA IN DRUGA POMOČ,2,DOBRNA
POŽARI IN EKSPLOZIJE,1,DOBROVLJE
POŽARI IN EKSPLOZIJE,2,DOBROVNIK
POŽARI IN EKSPLOZIJE,10,DOGOŠE
NARAVNE NESREČE,2,DOL PRI LJUBLJANI
POŽARI IN EKSPLOZIJE,1,DOL PRI LJUBLJANI
TEHNIČNA IN DRUGA POMOČ,3,DOL PRI LJUBLJANI
DRUGE NESREČE,1,DOLE
POŽARI IN EKSPLOZIJE,1,DOLE
POŽARI IN EKSPLOZIJE,8,DOLENJA VAS
POŽARI IN EKSPLOZIJE,1,DOLENJE JEZERO
NESREČE V PROMETU,4,DOLENJSKE TOPLICE
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,DOLENJSKE TOPLICE
POŽARI IN EKSPLOZIJE,5,DOLENJSKE TOPLICE
DRUGE NESREČE,2,DOLNJI LOGATEC
NARAVNE NESREČE,1,DOLNJI LOGATEC
NESREČE V PROMETU,22,DOLNJI LOGATEC
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",3,DOLNJI LOGATEC
POŽARI IN EKSPLOZIJE,23,DOLNJI LOGATEC
TEHNIČNA IN DRUGA POMOČ,11,DOLNJI LOGATEC
POŽARI IN EKSPLOZIJE,1,DOLSKO
TEHNIČNA IN DRUGA POMOČ,1,DOLSKO
POŽARI IN EKSPLOZIJE,1,DOLŽ
POŽARI IN EKSPLOZIJE,5,DOMŽALE - MESTO
TEHNIČNA IN DRUGA POMOČ,3,DOMŽALE - MESTO
DRUGE NESREČE,1,DONAČKA GORA
TEHNIČNA IN DRUGA POMOČ,1,DONAČKA GORA
POŽARI IN EKSPLOZIJE,2,DORNAVA
NESREČE V PROMETU,5,DOVJE
POŽARI IN EKSPLOZIJE,1,DOVJE
TEHNIČNA IN DRUGA POMOČ,1,DOVJE
POŽARI IN EKSPLOZIJE,2,DOVŽE
POŽARI IN EKSPLOZIJE,6,DRAGATUŠ
TEHNIČNA IN DRUGA POMOČ,1,DRAGATUŠ
NARAVNE NESREČE,1,DRAVLJE
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,DRAVLJE
POŽARI IN EKSPLOZIJE,12,DRAVLJE
DRUGE NESREČE,4,DRAVOGRAD
POŽARI IN EKSPLOZIJE,10,DRAVOGRAD
TEHNIČNA IN DRUGA POMOČ,2,DRAVOGRAD
POŽARI IN EKSPLOZIJE,2,DRENOV GRIČ - LESNO BRDO
POŽARI IN EKSPLOZIJE,4,DUPLICA
TEHNIČNA IN DRUGA POMOČ,1,DUPLICA
DRUGE NESREČE,1,DVOR
NESREČE V PROMETU,1,DVOR
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,DVOR
POŽARI IN EKSPLOZIJE,3,DVOR
TEHNIČNA IN DRUGA POMOČ,2,DVOR
DRUGE NESREČE,1,FORMIN
POŽARI IN EKSPLOZIJE,1,GABRJE
DRUGE NESREČE,1,GAMELJNE
POŽARI IN EKSPLOZIJE,2,GAMELJNE
TEHNIČNA IN DRUGA POMOČ,1,GAMELJNE
POŽARI IN EKSPLOZIJE,1,GATINA
POŽARI IN EKSPLOZIJE,2,GEREČJA VAS
POŽARI IN EKSPLOZIJE,1,GODEŠIČ
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,GOLAVABUKA
POŽARI IN EKSPLOZIJE,1,GOLAVABUKA
POŽARI IN EKSPLOZIJE,2,GOLNIK
POŽARI IN EKSPLOZIJE,2,GORA
POŽARI IN EKSPLOZIJE,1,GORENJE JEZERO
TEHNIČNA IN DRUGA POMOČ,1,GORENJE JEZERO
POŽARI IN EKSPLOZIJE,5,GORICA OB DRETI
TEHNIČNA IN DRUGA POMOČ,1,GORIČE
TEHNIČNA IN DRUGA POMOČ,1,GORIČICA - PREVALJE
POŽARI IN EKSPLOZIJE,1,GORJE - POČE - TREBENČE
TEHNIČNA IN DRUGA POMOČ,1,GORJE - POČE - TREBENČE
DRUGE NESREČE,5,GORNJA RADGONA
NARAVNE NESREČE,3,GORNJA RADGONA
NESREČE V PROMETU,24,GORNJA RADGONA
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",3,GORNJA RADGONA
POŽARI IN EKSPLOZIJE,13,GORNJA RADGONA
TEHNIČNA IN DRUGA POMOČ,15,GORNJA RADGONA
DRUGE NESREČE,1,GORNJI GRAD
POŽARI IN EKSPLOZIJE,6,GORNJI GRAD
NARAVNE NESREČE,1,GOSTEČE
POŽARI IN EKSPLOZIJE,1,GOSTEČE
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2,GOTOVLJE
POŽARI IN EKSPLOZIJE,11,GOTOVLJE
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,GOZD
POŽARI IN EKSPLOZIJE,3,GOZD
POŽARI IN EKSPLOZIJE,1,GOZD MARTULJEK
TEHNIČNA IN DRUGA POMOČ,1,GRABONOŠ
TEHNIČNA IN DRUGA POMOČ,1,GRABROVEC
POŽARI IN EKSPLOZIJE,2,GRABŠINSKI BREG
TEHNIČNA IN DRUGA POMOČ,1,GRABŠINSKI BREG
POŽARI IN EKSPLOZIJE,1,GRADIŠČE
DRUGE NESREČE,1,GRAHOVO OB BAČI
TEHNIČNA IN DRUGA POMOČ,1,GRAHOVO OB BAČI
DRUGE NESREČE,1,GRAJENA
POŽARI IN EKSPLOZIJE,5,GRAJENA
TEHNIČNA IN DRUGA POMOČ,4,GRAJENA
POŽARI IN EKSPLOZIJE,1,GRČARICE
NESREČE V PROMETU,2,GRIŽE
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",3,GRIŽE
POŽARI IN EKSPLOZIJE,12,GRIŽE
TEHNIČNA IN DRUGA POMOČ,5,GRIŽE
POŽARI IN EKSPLOZIJE,4,GRMOVLJE
POŽARI IN EKSPLOZIJE,2,HAJDOŠE
NARAVNE NESREČE,1,HARDEK
POŽARI IN EKSPLOZIJE,7,HARDEK
POŽARI IN EKSPLOZIJE,2,HMELJČIČ
DRUGE NESREČE,1,HOMEC
POŽARI IN EKSPLOZIJE,4,HOMEC
DRUGE NESREČE,1,HOTEMAŽE
POŽARI IN EKSPLOZIJE,1,HOTEMAŽE
POŽARI IN EKSPLOZIJE,2,HOTIČ
POŽARI IN EKSPLOZIJE,1,HOTIZA
DRUGE NESREČE,1,HRASTNIK 
NARAVNE NESREČE,1,HRASTNIK 
NESREČE V PROMETU,4,HRASTNIK 
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",3,HRASTNIK 
POŽARI IN EKSPLOZIJE,13,HRASTNIK 
TEHNIČNA IN DRUGA POMOČ,26,HRASTNIK 
POŽARI IN EKSPLOZIJE,1,HRAŠENSKI VRH
DRUGE NESREČE,2,HRUŠEVJE
NESREČE V PROMETU,1,HRUŠEVJE
POŽARI IN EKSPLOZIJE,2,HRUŠEVJE
TEHNIČNA IN DRUGA POMOČ,1,HRUŠEVJE
DRUGE NESREČE,1,HRUŠEVO
TEHNIČNA IN DRUGA POMOČ,1,HRUŠEVO
DRUGE NESREČE,1,HRVATINI
POŽARI IN EKSPLOZIJE,1,HRVATINI
TEHNIČNA IN DRUGA POMOČ,2,HRVATINI
DRUGE NESREČE,12,IDRIJA
NARAVNE NESREČE,2,IDRIJA
NESREČE V PROMETU,30,IDRIJA
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2,IDRIJA
POŽARI IN EKSPLOZIJE,19,IDRIJA
TEHNIČNA IN DRUGA POMOČ,37,IDRIJA
DRUGE NESREČE,7,ILIRSKA BISTRICA
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",1,ILIRSKA BISTRICA
NARAVNE NESREČE,1,ILIRSKA BISTRICA
NESREČE V PROMETU,27,ILIRSKA BISTRICA
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",7,ILIRSKA BISTRICA
POŽARI IN EKSPLOZIJE,39,ILIRSKA BISTRICA
TEHNIČNA IN DRUGA POMOČ,20,ILIRSKA BISTRICA
NESREČE V PROMETU,1,IVANČNA GORICA
POŽARI IN EKSPLOZIJE,5,IVANČNA GORICA
TEHNIČNA IN DRUGA POMOČ,1,IVANČNA GORICA
NESREČE V PROMETU,1,IVANJE SELO
POŽARI IN EKSPLOZIJE,2,IVANJE SELO
POŽARI IN EKSPLOZIJE,1,IZLAKE
TEHNIČNA IN DRUGA POMOČ,4,IZLAKE
POŽARI IN EKSPLOZIJE,2,IŽAKOVCI
TEHNIČNA IN DRUGA POMOČ,1,IŽAKOVCI
POŽARI IN EKSPLOZIJE,2,JABLANE
TEHNIČNA IN DRUGA POMOČ,1,JABLANE
POŽARI IN EKSPLOZIJE,3,JABLANICA
POŽARI IN EKSPLOZIJE,6,JESENICE 
DRUGE NESREČE,2,JEZERSKO
NARAVNE NESREČE,1,JEZERSKO
POŽARI IN EKSPLOZIJE,1,JEZERSKO
DRUGE NESREČE,2,JEŽICA
POŽARI IN EKSPLOZIJE,4,JEŽICA
DRUGE NESREČE,1,KALOBJE
POŽARI IN EKSPLOZIJE,1,KALOBJE
TEHNIČNA IN DRUGA POMOČ,4,KALOBJE
POŽARI IN EKSPLOZIJE,13,KAMENCE
POŽARI IN EKSPLOZIJE,1,KAMNA GORICA
DRUGE NESREČE,2,KANAL
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",1,KANAL
NARAVNE NESREČE,2,KANAL
NESREČE V PROMETU,1,KANAL
POŽARI IN EKSPLOZIJE,17,KANAL
TEHNIČNA IN DRUGA POMOČ,7,KANAL
POŽARI IN EKSPLOZIJE,6,KAPELE
NARAVNE NESREČE,1,KAPLA
DRUGE NESREČE,1,KASAZE - LIBOJE
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,KASAZE - LIBOJE
POŽARI IN EKSPLOZIJE,5,KASAZE - LIBOJE
TEHNIČNA IN DRUGA POMOČ,2,KASAZE - LIBOJE
POŽARI IN EKSPLOZIJE,4,KICAR
NARAVNE NESREČE,1,KNEŽA
POŽARI IN EKSPLOZIJE,1,KNEŽA
TEHNIČNA IN DRUGA POMOČ,5,KNEŽA
DRUGE NESREČE,2,KNEŽAK
NESREČE V PROMETU,1,KNEŽAK
POŽARI IN EKSPLOZIJE,11,KNEŽAK
TEHNIČNA IN DRUGA POMOČ,1,KNEŽAK
POŽARI IN EKSPLOZIJE,1,KOKORIČI
NESREČE V PROMETU,3,KOMENDA
POŽARI IN EKSPLOZIJE,4,KOMENDA
TEHNIČNA IN DRUGA POMOČ,2,KOMENDA
NARAVNE NESREČE,1,KORAČICE
POŽARI IN EKSPLOZIJE,2,KORENA
TEHNIČNA IN DRUGA POMOČ,2,KORENA
POŽARI IN EKSPLOZIJE,1,KORITNICE
POŽARI IN EKSPLOZIJE,3,KOROŠKA BELA
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",1,KOSTANJEVICA
POŽARI IN EKSPLOZIJE,21,KOSTANJEVICA
POŽARI IN EKSPLOZIJE,4,KOSTANJEVICA NA KRKI
TEHNIČNA IN DRUGA POMOČ,1,KOSTANJEVICA NA KRKI
DRUGE NESREČE,1,KOSTRIVNICA
NARAVNE NESREČE,1,KOSTRIVNICA
POŽARI IN EKSPLOZIJE,2,KOSTRIVNICA
TEHNIČNA IN DRUGA POMOČ,1,KOSTRIVNICA
POŽARI IN EKSPLOZIJE,2,KOVOR
POŽARI IN EKSPLOZIJE,2,KOZARJE
NESREČE V PROMETU,4,KRANJSKA GORA
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,KRANJSKA GORA
POŽARI IN EKSPLOZIJE,5,KRANJSKA GORA
TEHNIČNA IN DRUGA POMOČ,2,KRANJSKA GORA
POŽARI IN EKSPLOZIJE,1,KRAŠCE
DRUGE NESREČE,1,KRESNICE
POŽARI IN EKSPLOZIJE,1,KRESNICE
TEHNIČNA IN DRUGA POMOČ,1,KRIŽI
POŽARI IN EKSPLOZIJE,2,KRKAVČE
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",1,KROPA
POŽARI IN EKSPLOZIJE,1,KROPA
POŽARI IN EKSPLOZIJE,2,KRŠKA VAS
POŽARI IN EKSPLOZIJE,3,KRŠKO
DRUGE NESREČE,1,LAHOVČE
POŽARI IN EKSPLOZIJE,2,LAHOVČE
DRUGE NESREČE,1,LANCOVO
NARAVNE NESREČE,2,LANCOVO
POŽARI IN EKSPLOZIJE,3,LANCOVO
TEHNIČNA IN DRUGA POMOČ,1,LANCOVO
DRUGE NESREČE,1,LAPORJE
POŽARI IN EKSPLOZIJE,2,LAPORJE
POŽARI IN EKSPLOZIJE,2,LAZE 
TEHNIČNA IN DRUGA POMOČ,1,LAZE 
POŽARI IN EKSPLOZIJE,1,LEMBERG
POŽARI IN EKSPLOZIJE,3,LENART
TEHNIČNA IN DRUGA POMOČ,1,LENART
POŽARI IN EKSPLOZIJE,6,LENDAVA
TEHNIČNA IN DRUGA POMOČ,4,LENDAVA
POŽARI IN EKSPLOZIJE,3,LESIČNO - PILŠTANJ - ZAGORJE
TEHNIČNA IN DRUGA POMOČ,1,LESIČNO - PILŠTANJ - ZAGORJE
DRUGE NESREČE,1,LETUŠ
DRUGE NESREČE,1,LIPOGLAV
NARAVNE NESREČE,1,LIPOGLAV
POŽARI IN EKSPLOZIJE,3,LIVOLD
DRUGE NESREČE,1,LJUBLJANA - MESTO
POŽARI IN EKSPLOZIJE,25,LJUBLJANA - MESTO
TEHNIČNA IN DRUGA POMOČ,2,LJUBLJANA - MESTO
POŽARI IN EKSPLOZIJE,1,LJUBLJANA - RUDNIK
POŽARI IN EKSPLOZIJE,2,LJUBLJANA - ŠENTVID
DRUGE NESREČE,1,LJUBNO
DRUGE NESREČE,3,LJUTOMER
NARAVNE NESREČE,1,LJUTOMER
NESREČE V PROMETU,16,LJUTOMER
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,LJUTOMER
POŽARI IN EKSPLOZIJE,9,LJUTOMER
TEHNIČNA IN DRUGA POMOČ,9,LJUTOMER
NESREČE V PROMETU,1,LOČE
POŽARI IN EKSPLOZIJE,8,LOČE
DRUGE NESREČE,1,LOČICA PRI VRANSKEM 
POŽARI IN EKSPLOZIJE,3,LOČICA PRI VRANSKEM 
NESREČE V PROMETU,4,LOG PRI BREZOVICI
POŽARI IN EKSPLOZIJE,1,LOG PRI BREZOVICI
TEHNIČNA IN DRUGA POMOČ,2,LOG PRI BREZOVICI
POŽARI IN EKSPLOZIJE,3,LOKOVICA
NARAVNE NESREČE,1,LOPATA
POŽARI IN EKSPLOZIJE,4,LOPATA
TEHNIČNA IN DRUGA POMOČ,1,LOPATA
POŽARI IN EKSPLOZIJE,5,LOVRENC NA DRAVSKEM POLJU
DRUGE NESREČE,4,LOVRENC NA POHORJU
NARAVNE NESREČE,2,LOVRENC NA POHORJU
NESREČE V PROMETU,1,LOVRENC NA POHORJU
POŽARI IN EKSPLOZIJE,3,LOVRENC NA POHORJU
TEHNIČNA IN DRUGA POMOČ,5,LOVRENC NA POHORJU
NESREČE V PROMETU,1,LOŽNICA PRI ŽALCU
POŽARI IN EKSPLOZIJE,3,LOŽNICA PRI ŽALCU
DRUGE NESREČE,5,LUČE
NESREČE V PROMETU,1,LUČE
POŽARI IN EKSPLOZIJE,2,LUČE
TEHNIČNA IN DRUGA POMOČ,2,LUČE
POŽARI IN EKSPLOZIJE,3,LUKOVEK
DRUGE NESREČE,1,LUKOVICA
NESREČE V PROMETU,8,LUKOVICA
POŽARI IN EKSPLOZIJE,9,LUKOVICA
TEHNIČNA IN DRUGA POMOČ,4,LUKOVICA
POŽARI IN EKSPLOZIJE,2,MAHAROVEC
DRUGE NESREČE,2,MAJŠPERK
POŽARI IN EKSPLOZIJE,7,MAJŠPERK
TEHNIČNA IN DRUGA POMOČ,5,MAJŠPERK
POŽARI IN EKSPLOZIJE,1,MALA POLANA 
POŽARI IN EKSPLOZIJE,1,MALI OBREŽ
POŽARI IN EKSPLOZIJE,1,MALO MLAČEVO
POŽARI IN EKSPLOZIJE,2,MALO MRAŠEVO
POŽARI IN EKSPLOZIJE,6,MARIBOR - STUDENCI
POŽARI IN EKSPLOZIJE,3,MARKOVCI
TEHNIČNA IN DRUGA POMOČ,1,MARTINJAK
POŽARI IN EKSPLOZIJE,2,MARTJANCI
TEHNIČNA IN DRUGA POMOČ,1,MARTJANCI
DRUGE NESREČE,4,MATERIJA
NARAVNE NESREČE,3,MATERIJA
NESREČE V PROMETU,20,MATERIJA
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2,MATERIJA
POŽARI IN EKSPLOZIJE,54,MATERIJA
TEHNIČNA IN DRUGA POMOČ,3,MATERIJA
POŽARI IN EKSPLOZIJE,1,MEDNO
NARAVNE NESREČE,1,MEDVEDCE
NESREČE V PROMETU,1,MEDVEDCE
POŽARI IN EKSPLOZIJE,2,MEDVEDCE
POŽARI IN EKSPLOZIJE,2,MEDVEDJE BRDO
POŽARI IN EKSPLOZIJE,1,MEKOTNJAK - STARA CESTA
DRUGE NESREČE,1,METLIKA
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,METLIKA
POŽARI IN EKSPLOZIJE,3,METLIKA
TEHNIČNA IN DRUGA POMOČ,12,METLIKA
DRUGE NESREČE,3,MEŽICA
NESREČE V PROMETU,2,MEŽICA
POŽARI IN EKSPLOZIJE,6,MEŽICA
TEHNIČNA IN DRUGA POMOČ,3,MEŽICA
NARAVNE NESREČE,1,MIKLAVŽ NA DRAVSKEM POLJU
POŽARI IN EKSPLOZIJE,10,MIKLAVŽ NA DRAVSKEM POLJU
TEHNIČNA IN DRUGA POMOČ,2,MIKLAVŽ NA DRAVSKEM POLJU
POŽARI IN EKSPLOZIJE,3,MIRNA PEČ
TEHNIČNA IN DRUGA POMOČ,1,MIRNA PEČ
DRUGE NESREČE,5,MISLINJA
NARAVNE NESREČE,1,MISLINJA
NESREČE V PROMETU,1,MISLINJA
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,MISLINJA
POŽARI IN EKSPLOZIJE,7,MISLINJA
TEHNIČNA IN DRUGA POMOČ,6,MISLINJA
NARAVNE NESREČE,1,MLINŠE
TEHNIČNA IN DRUGA POMOČ,3,MLINŠE
DRUGE NESREČE,1,MOJSTRANA
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2,MOJSTRANA
POŽARI IN EKSPLOZIJE,6,MOJSTRANA
TEHNIČNA IN DRUGA POMOČ,1,MOJSTRANA
NESREČE V PROMETU,1,MOKRONOG
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,MOKRONOG
POŽARI IN EKSPLOZIJE,2,MOKRONOG
DRUGE NESREČE,2,MOST NA SOČI
POŽARI IN EKSPLOZIJE,8,MOST NA SOČI
TEHNIČNA IN DRUGA POMOČ,4,MOST NA SOČI
DRUGE NESREČE,1,MOSTE
NESREČE V PROMETU,13,MOSTE
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2,MOSTE
POŽARI IN EKSPLOZIJE,4,MOSTE
TEHNIČNA IN DRUGA POMOČ,3,MOSTE
POŽARI IN EKSPLOZIJE,1,MOTA
POŽARI IN EKSPLOZIJE,2,MOVRAŽ
POŽARI IN EKSPLOZIJE,1,MOZELJ
POŽARI IN EKSPLOZIJE,1,MULJAVA
DRUGE NESREČE,3,MUTA
NARAVNE NESREČE,1,MUTA
POŽARI IN EKSPLOZIJE,9,MUTA
TEHNIČNA IN DRUGA POMOČ,7,MUTA
DRUGE NESREČE,3,NAZARJE
NESREČE V PROMETU,19,NAZARJE
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,NAZARJE
POŽARI IN EKSPLOZIJE,11,NAZARJE
TEHNIČNA IN DRUGA POMOČ,3,NAZARJE
POŽARI IN EKSPLOZIJE,1,NEGOVA
TEHNIČNA IN DRUGA POMOČ,1,NEGOVA
POŽARI IN EKSPLOZIJE,1,NOMENJ
DRUGE NESREČE,1,NOTRANJE GORICE - PLEŠIVICA
POŽARI IN EKSPLOZIJE,6,NOTRANJE GORICE - PLEŠIVICA
TEHNIČNA IN DRUGA POMOČ,2,NOTRANJE GORICE - PLEŠIVICA
DRUGE NESREČE,1,NOVA CERKEV
POŽARI IN EKSPLOZIJE,6,NOVA CERKEV
TEHNIČNA IN DRUGA POMOČ,2,NOVA CERKEV
DRUGE NESREČE,1,NOVA GORICA
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",1,NOVA GORICA
POŽARI IN EKSPLOZIJE,24,NOVA GORICA
TEHNIČNA IN DRUGA POMOČ,1,NOVA GORICA
POŽARI IN EKSPLOZIJE,3,NOVA ŠTIFTA
POŽARI IN EKSPLOZIJE,4,NOVA VAS NA BLOKAH
TEHNIČNA IN DRUGA POMOČ,3,NOVA VAS NA BLOKAH
POŽARI IN EKSPLOZIJE,1,NOVA VAS NAD DRAGONJO
POŽARI IN EKSPLOZIJE,1,NOVO MESTO
POŽARI IN EKSPLOZIJE,1,OBREŽ
DRUGE NESREČE,2,OBREŽJE
NARAVNE NESREČE,1,OBREŽJE
NESREČE V PROMETU,1,OBREŽJE
POŽARI IN EKSPLOZIJE,7,OBREŽJE
TEHNIČNA IN DRUGA POMOČ,8,OBREŽJE
NARAVNE NESREČE,1,OJSTRIŠKA VAS - TABOR
POŽARI IN EKSPLOZIJE,4,OJSTRIŠKA VAS - TABOR
TEHNIČNA IN DRUGA POMOČ,1,OJSTRIŠKA VAS - TABOR
DRUGE NESREČE,2,OKONINA
NESREČE V PROMETU,1,OKONINA
POŽARI IN EKSPLOZIJE,6,OKONINA
POŽARI IN EKSPLOZIJE,1,OKOSLAVCI
DRUGE NESREČE,1,OPLOTNICA
NARAVNE NESREČE,1,OPLOTNICA
NESREČE V PROMETU,3,OPLOTNICA
POŽARI IN EKSPLOZIJE,7,OPLOTNICA
TEHNIČNA IN DRUGA POMOČ,2,OPLOTNICA
POŽARI IN EKSPLOZIJE,1,OREHOVICA
DRUGE NESREČE,1,ORMOŽ
JEDRSKI IN DRUGI DOGODKI,1,ORMOŽ
NARAVNE NESREČE,5,ORMOŽ
NESREČE V PROMETU,19,ORMOŽ
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",6,ORMOŽ
POŽARI IN EKSPLOZIJE,4,ORMOŽ
TEHNIČNA IN DRUGA POMOČ,9,ORMOŽ
POŽARI IN EKSPLOZIJE,1,PACINJE
POŽARI IN EKSPLOZIJE,1,PADEŽ
DRUGE NESREČE,1,PALOMA - SLADKI VRH
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,PALOMA - SLADKI VRH
POŽARI IN EKSPLOZIJE,5,PALOMA - SLADKI VRH
POŽARI IN EKSPLOZIJE,3,PAMEČE - TROBLJE
TEHNIČNA IN DRUGA POMOČ,2,PAMEČE - TROBLJE
DRUGE NESREČE,1,PARIŽLJE - TOPOVLJE
POŽARI IN EKSPLOZIJE,6,PAŠKA VAS
POŽARI IN EKSPLOZIJE,5,PEKRE
DRUGE NESREČE,1,PESJE
POŽARI IN EKSPLOZIJE,3,PESJE
TEHNIČNA IN DRUGA POMOČ,1,PESJE
DRUGE NESREČE,1,PESNICA
POŽARI IN EKSPLOZIJE,9,PESNICA
TEHNIČNA IN DRUGA POMOČ,2,PESNICA
POŽARI IN EKSPLOZIJE,1,PETROVA VAS
DRUGE NESREČE,1,PLUŽNJE
POŽARI IN EKSPLOZIJE,1,PLUŽNJE
TEHNIČNA IN DRUGA POMOČ,1,PLUŽNJE
POŽARI IN EKSPLOZIJE,1,POBEGI - ČEŽARJI
TEHNIČNA IN DRUGA POMOČ,1,POBEGI - ČEŽARJI
POŽARI IN EKSPLOZIJE,2,POBREŽJE OB SAVINJI
POŽARI IN EKSPLOZIJE,3,PODBOČJE
NARAVNE NESREČE,1,PODGORCI
POŽARI IN EKSPLOZIJE,2,PODGORCI
TEHNIČNA IN DRUGA POMOČ,1,PODGORCI
TEHNIČNA IN DRUGA POMOČ,1,PODHOM
NARAVNE NESREČE,1,PODKUM
POŽARI IN EKSPLOZIJE,2,PODKUM
NESREČE V PROMETU,1,PODLEHNIK
POŽARI IN EKSPLOZIJE,2,PODLEHNIK
TEHNIČNA IN DRUGA POMOČ,2,PODLEHNIK
NARAVNE NESREČE,1,PODLIPA - SMREČJE
POŽARI IN EKSPLOZIJE,1,PODLIPA - SMREČJE
NESREČE V PROMETU,1,PODPEČ
POŽARI IN EKSPLOZIJE,2,PODPEČ
TEHNIČNA IN DRUGA POMOČ,1,PODPEČ
DRUGE NESREČE,1,PODZEMELJ
POŽARI IN EKSPLOZIJE,1,PODZEMELJ
POŽARI IN EKSPLOZIJE,2,POLHOV GRADEC
TEHNIČNA IN DRUGA POMOČ,1,POLHOV GRADEC
POŽARI IN EKSPLOZIJE,4,POLICA
DRUGE NESREČE,1,POLJANE
NARAVNE NESREČE,1,POLJANE
NESREČE V PROMETU,4,POLJANE
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,POLJANE
POŽARI IN EKSPLOZIJE,4,POLJANE
TEHNIČNA IN DRUGA POMOČ,3,POLJANE
DRUGE NESREČE,1,POLJČANE
NARAVNE NESREČE,3,POLJČANE
POŽARI IN EKSPLOZIJE,7,POLJČANE
TEHNIČNA IN DRUGA POMOČ,4,POLJČANE
DRUGE NESREČE,1,PONIKVA PRI ŽALCU
POŽARI IN EKSPLOZIJE,3,PONIKVA PRI ŽALCU
