aktivnost,stevilo,enota
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2,ČRNA NA KOROŠKEM
POŽARI IN EKSPLOZIJE,8,ČRNA NA KOROŠKEM
TEHNIČNA IN DRUGA POMOČ,7,ČRNA NA KOROŠKEM
DRUGE NESREČE,2,ČRNEČE
POŽARI IN EKSPLOZIJE,3,ČRNEČE
POŽARI IN EKSPLOZIJE,2,DEKANI
DRUGE NESREČE,2,DESTRNIK
POŽARI IN EKSPLOZIJE,2,DESTRNIK
DRUGE NESREČE,1,DIVAČA
NARAVNE NESREČE,1,DIVAČA
NESREČE V PROMETU,1,DIVAČA
POŽARI IN EKSPLOZIJE,15,DIVAČA
TEHNIČNA IN DRUGA POMOČ,7,DIVAČA
NARAVNE NESREČE,1,DOBOVEC PRI ROGATCU
POŽARI IN EKSPLOZIJE,1,DOBOVEC PRI ROGATCU
DRUGE NESREČE,7,DOBRAČEVA
NESREČE V PROMETU,6,DOBRAČEVA
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,DOBRAČEVA
POŽARI IN EKSPLOZIJE,6,DOBRAČEVA
TEHNIČNA IN DRUGA POMOČ,5,DOBRAČEVA
POŽARI IN EKSPLOZIJE,1,DOBRNIČ
DRUGE NESREČE,1,DOBROVA
NESREČE V PROMETU,1,DOBROVA
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,DOBROVA
POŽARI IN EKSPLOZIJE,1,DOBROVA
TEHNIČNA IN DRUGA POMOČ,4,DOBROVA
DRUGE NESREČE,1,DOBROVO
NARAVNE NESREČE,1,DOBROVO
POŽARI IN EKSPLOZIJE,8,DOBROVO
TEHNIČNA IN DRUGA POMOČ,1,DOBROVO
POŽARI IN EKSPLOZIJE,3,DOL
POŽARI IN EKSPLOZIJE,3,DOL PRI HRASTNIKU
TEHNIČNA IN DRUGA POMOČ,5,DOL PRI HRASTNIKU
POŽARI IN EKSPLOZIJE,1,DOLENCI
TEHNIČNA IN DRUGA POMOČ,1,DOLENJA STARA VAS
POŽARI IN EKSPLOZIJE,5,DOLENJA STRAŽA
TEHNIČNA IN DRUGA POMOČ,1,DOLENJA STRAŽA
DRUGE NESREČE,1,DOLENJA TREBUŠA
TEHNIČNA IN DRUGA POMOČ,3,DOLENJA TREBUŠA
POŽARI IN EKSPLOZIJE,1,DOLENJI LAZI
TEHNIČNA IN DRUGA POMOČ,1,DOLENJI LAZI
NARAVNE NESREČE,1,DOLGA VAS - KOČEVJE
DRUGE NESREČE,1,DOLIČ ŠENTFLORJAN
POŽARI IN EKSPLOZIJE,1,DOLIČ ŠENTFLORJAN
POŽARI IN EKSPLOZIJE,1,DOLINA
POŽARI IN EKSPLOZIJE,1,DOLNJA BISTRICA
NARAVNE NESREČE,1,DOLNJI SLAVEČI
TEHNIČNA IN DRUGA POMOČ,3,DOLNJI SLAVEČI
POŽARI IN EKSPLOZIJE,1,DOMANJŠEVCI
NARAVNE NESREČE,1,DORNBERK
POŽARI IN EKSPLOZIJE,14,DORNBERK
TEHNIČNA IN DRUGA POMOČ,2,DORNBERK
POŽARI IN EKSPLOZIJE,3,DRAGOMER - LUKOVICA
DRUGE NESREČE,1,DRAMLJE
POŽARI IN EKSPLOZIJE,2,DRAMLJE
POŽARI IN EKSPLOZIJE,1,DRAŽENCI
