Omejitve
"Omejitve:
Skupina dogodkov: Požari na prometnih sredstvih
ReCO: vse
Občina: vse
Leto: 
2010
Mesec: vse
Dan: vse"

Dogodek,Textbox20,OpisRanga,Textbox24,NastanekDatumCas,PKID,Textbox15
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,10.12.2010 15:47:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,16.12.2010 16:51:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,17.12.2010 16:07:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,22.12.2010 15:30:00,1,437
požari na sredstvih cestnega prometa,394,od 15. do 18. ure,67,23.12.2010 15:55:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,10.1.2010 20:34:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,12.1.2010 18:22:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,18.1.2010 18:07:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,23.1.2010 20:27:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,23.1.2010 20:51:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,25.1.2010 20:27:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,12.2.2010 19:01:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,20.2.2010 18:07:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,26.2.2010 20:48:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,7.3.2010 20:48:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,8.3.2010 18:21:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,13.3.2010 18:58:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,16.3.2010 20:05:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,18.3.2010 19:16:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,18.3.2010 20:53:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,29.3.2010 20:48:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,31.3.2010 18:42:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,3.4.2010 19:33:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,3.4.2010 19:51:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,4.4.2010 20:04:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,5.4.2010 19:27:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,10.4.2010 20:02:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,11.4.2010 19:28:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,14.4.2010 19:01:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,23.4.2010 18:27:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,25.4.2010 18:58:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,29.4.2010 19:08:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,12.5.2010 19:36:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,13.5.2010 19:48:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,13.5.2010 19:54:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,19.5.2010 19:36:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,21.5.2010 18:47:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,22.5.2010 18:05:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,23.5.2010 20:11:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,14.6.2010 18:15:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,14.6.2010 20:11:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,19.6.2010 19:08:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,27.6.2010 20:29:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,29.6.2010 18:15:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,30.6.2010 19:30:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,3.7.2010 20:41:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,11.7.2010 18:40:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,20.7.2010 18:36:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,23.7.2010 18:49:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,23.7.2010 19:17:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,7.8.2010 18:48:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,16.8.2010 20:28:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,23.8.2010 20:03:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,28.8.2010 18:28:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,29.8.2010 20:44:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,31.8.2010 18:34:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,3.9.2010 19:57:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,4.9.2010 20:15:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,7.9.2010 18:01:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,15.9.2010 18:07:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,20.9.2010 18:13:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,26.9.2010 19:24:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,29.9.2010 18:07:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,2.10.2010 18:14:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,14.10.2010 20:54:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,15.10.2010 20:05:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,27.10.2010 18:01:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,27.10.2010 19:11:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,30.10.2010 19:00:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,30.10.2010 20:58:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,3.11.2010 19:50:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,11.12.2010 20:43:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,11.12.2010 20:45:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,14.12.2010 19:30:00,1,437
požari na sredstvih cestnega prometa,394,od 18. do 21. ure,70,20.12.2010 18:44:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,4.1.2010 21:50:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,13.1.2010 23:17:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,17.2.2010 23:50:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,19.3.2010 21:06:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,2.4.2010 22:26:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,3.4.2010 21:31:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,5.4.2010 23:41:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,11.4.2010 21:32:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,15.4.2010 21:30:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,17.4.2010 21:27:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,18.4.2010 22:27:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,25.4.2010 22:10:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,28.4.2010 21:12:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,29.4.2010 23:17:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,19.5.2010 21:14:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,26.5.2010 22:03:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,29.5.2010 23:54:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,16.6.2010 21:48:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,20.6.2010 21:51:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,20.6.2010 22:05:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,23.6.2010 23:51:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,28.6.2010 21:27:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,1.7.2010 21:35:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,3.7.2010 21:56:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,5.7.2010 22:17:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,11.7.2010 23:47:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,12.7.2010 23:08:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,13.7.2010 22:11:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,22.7.2010 23:10:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,28.7.2010 21:57:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,17.9.2010 21:49:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,18.9.2010 21:43:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,26.9.2010 21:39:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,26.9.2010 22:38:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,27.9.2010 21:57:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,2.10.2010 22:19:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,10.10.2010 23:30:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,4.11.2010 21:52:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,28.11.2010 21:30:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,30.11.2010 22:08:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,11.12.2010 21:40:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,22.12.2010 22:51:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,27.12.2010 21:28:00,1,437
požari na sredstvih cestnega prometa,394,od 21. do 24. ure,44,27.12.2010 23:40:00,1,437
"požari na delovnih, kmetijskih in gradbenih strojih",27,od 0. do 3. ure,4,10.4.2010 1:54:00,1,437
"požari na delovnih, kmetijskih in gradbenih strojih",27,od 0. do 3. ure,4,12.7.2010 2:36:00,1,437
"požari na delovnih, kmetijskih in gradbenih strojih",27,od 0. do 3. ure,4,3.8.2010 2:45:00,1,437
"požari na delovnih, kmetijskih in gradbenih strojih",27,od 0. do 3. ure,4,30.11.2010 2:42:00,1,437
"požari na delovnih, kmetijskih in gradbenih strojih",27,od 3. do 6. ure,1,13.4.2010 3:58:00,1,437
"požari na delovnih, kmetijskih in gradbenih strojih",27,od 6. do 9. ure,1,11.10.2010 8:00:00,1,437
"požari na delovnih, kmetijskih in gradbenih strojih",27,od 9. do 12. ure,3,5.8.2010 10:20:00,1,437
"požari na delovnih, kmetijskih in gradbenih strojih",27,od 9. do 12. ure,3,5.10.2010 10:23:00,1,437
"požari na delovnih, kmetijskih in gradbenih strojih",27,od 9. do 12. ure,3,25.11.2010 9:35:00,1,437
"požari na delovnih, kmetijskih in gradbenih strojih",27,od 12. do 15. ure,7,26.4.2010 13:08:00,1,437
"požari na delovnih, kmetijskih in gradbenih strojih",27,od 12. do 15. ure,7,26.4.2010 14:10:00,1,437
"požari na delovnih, kmetijskih in gradbenih strojih",27,od 12. do 15. ure,7,22.5.2010 12:28:00,1,437
"požari na delovnih, kmetijskih in gradbenih strojih",27,od 12. do 15. ure,7,19.7.2010 12:49:00,1,437
"požari na delovnih, kmetijskih in gradbenih strojih",27,od 12. do 15. ure,7,26.7.2010 14:34:00,1,437
"požari na delovnih, kmetijskih in gradbenih strojih",27,od 12. do 15. ure,7,7.8.2010 12:05:00,1,437
"požari na delovnih, kmetijskih in gradbenih strojih",27,od 12. do 15. ure,7,20.12.2010 14:15:00,1,437
"požari na delovnih, kmetijskih in gradbenih strojih",27,od 15. do 18. ure,7,25.4.2010 15:00:00,1,437
"požari na delovnih, kmetijskih in gradbenih strojih",27,od 15. do 18. ure,7,2.6.2010 15:34:00,1,437
"požari na delovnih, kmetijskih in gradbenih strojih",27,od 15. do 18. ure,7,10.7.2010 15:04:00,1,437
"požari na delovnih, kmetijskih in gradbenih strojih",27,od 15. do 18. ure,7,10.7.2010 17:10:00,1,437
"požari na delovnih, kmetijskih in gradbenih strojih",27,od 15. do 18. ure,7,15.9.2010 15:56:00,1,437
"požari na delovnih, kmetijskih in gradbenih strojih",27,od 15. do 18. ure,7,13.10.2010 16:50:00,1,437
"požari na delovnih, kmetijskih in gradbenih strojih",27,od 15. do 18. ure,7,23.10.2010 15:41:00,1,437
"požari na delovnih, kmetijskih in gradbenih strojih",27,od 18. do 21. ure,3,23.5.2010 18:49:00,1,437
"požari na delovnih, kmetijskih in gradbenih strojih",27,od 18. do 21. ure,3,19.7.2010 20:01:00,1,437
"požari na delovnih, kmetijskih in gradbenih strojih",27,od 18. do 21. ure,3,17.8.2010 18:57:00,1,437
"požari na delovnih, kmetijskih in gradbenih strojih",27,od 21. do 24. ure,1,7.10.2010 22:37:00,1,437
požari na sredstvih železniškega prometa,11,od 0. do 3. ure,1,8.9.2010 0:21:00,1,437
požari na sredstvih železniškega prometa,11,od 3. do 6. ure,2,27.4.2010 5:14:00,1,437
požari na sredstvih železniškega prometa,11,od 3. do 6. ure,2,25.5.2010 5:02:00,1,437
požari na sredstvih železniškega prometa,11,od 6. do 9. ure,2,30.9.2010 8:10:00,1,437
požari na sredstvih železniškega prometa,11,od 6. do 9. ure,2,30.11.2010 8:56:00,1,437
požari na sredstvih železniškega prometa,11,od 9. do 12. ure,1,20.10.2010 11:55:00,1,437
požari na sredstvih železniškega prometa,11,od 12. do 15. ure,1,21.1.2010 12:12:00,1,437
požari na sredstvih železniškega prometa,11,od 15. do 18. ure,1,12.6.2010 15:58:00,1,437
požari na sredstvih železniškega prometa,11,od 18. do 21. ure,3,2.7.2010 20:27:00,1,437
požari na sredstvih železniškega prometa,11,od 18. do 21. ure,3,22.7.2010 18:04:00,1,437
požari na sredstvih železniškega prometa,11,od 18. do 21. ure,3,19.12.2010 19:36:00,1,437
požari na sredstvih zračnega prometa,2,od 15. do 18. ure,2,4.6.2010 17:59:00,2,437
požari na sredstvih vodnega prometa,3,od 0. do 3. ure,1,18.3.2010 2:01:00,1,437
požari na sredstvih vodnega prometa,3,od 3. do 6. ure,1,18.6.2010 4:35:00,1,437
požari na sredstvih vodnega prometa,3,od 15. do 18. ure,1,10.7.2010 16:13:00,1,437

